SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.1
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
189	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
190	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
191	230394.0	52738.863	2.0	1.4791564	1.0	1.0	2.0	1.129459	1.0	1.0	
192	230390.0	52738.26	2.0	1.4791564	1.0	1.0	6.0	1.731645	1.0	1.0	
193	230387.0	52737.402	3.0	1.9749948	1.0	1.0	8.0	2.0918174	1.0	1.0	
194	230383.0	52736.44	4.0	2.455022	2.0	1.0809149	10.0	2.4896095	1.0	1.0	
195	230379.0	52735.227	5.0	2.9335039	2.0	1.0809149	12.0	2.9842882	2.0	1.2405955	
196	230369.0	52732.21	9.0	4.7521925	3.0	1.1697887	16.0	3.8594866	3.0	1.4767256	
197	230363.0	52730.867	10.0	5.212615	4.0	1.2789308	17.0	4.045662	6.0	2.0652173	
198	230353.0	52728.504	12.0	6.144534	7.0	1.6875298	19.0	4.5721035	9.0	2.5637934	
199	230343.0	52726.125	13.0	6.5026884	11.0	2.4708314	22.0	5.468866	11.0	2.9000573	
200	230326.0	52722.63	13.0	6.5026884	16.0	3.3754046	28.0	7.1203823	17.0	3.8391442	
201	230305.0	52717.613	15.0	7.2665553	21.0	4.161994	36.0	9.6775	23.0	4.745937	
202	230283.0	52712.348	19.0	9.026661	29.0	5.653807	39.0	10.686159	30.0	5.752466	
203	230268.0	52708.723	21.0	9.863001	34.0	6.7160006	43.0	11.889593	34.0	6.276691	
204	230248.0	52702.7	29.0	13.1804695	38.0	7.5560737	46.0	13.15287	39.0	6.8756547	
205	230231.0	52698.586	33.0	14.736267	42.0	8.574559	47.0	13.698191	47.0	7.867833	
206	230205.0	52691.79	41.0	17.94636	48.0	10.209658	50.0	14.623955	56.0	8.895885	
207	230172.0	52682.805	46.0	20.007723	54.0	11.913103	60.0	18.411798	68.0	10.333104	
