SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.0	k_R = 0.0	k_A_bar = 1.0
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.063381	4.6	Colonize	11	2.63046	4.6	Colonize	
20	21	4.479247	5.5	Colonize	21	4.9665575	5.4	Colonize	
30	31	5.986629	5.9333334	Colonize	31	7.020542	6.0	Colonize	
40	39	7.274889	6.25	Abandon	41	9.667395	6.2	Colonize	
50	39	7.2517085	6.263158	Colonize	51	12.375284	6.4	Colonize	
60	39	7.2517085	6.263158	Colonize	61	14.787545	6.6	Colonize	
70	39	7.2517085	6.263158	Colonize	71	17.444193	6.714286	Colonize	
80	39	7.2517085	6.263158	Colonize	81	20.076742	6.775	Colonize	
90	39	7.2517085	6.263158	Colonize	91	22.302727	6.866667	Colonize	
100	39	7.2517085	6.263158	Colonize	101	24.876793	6.88	Colonize	
110	39	7.2517085	6.263158	Colonize	111	26.91109	6.927273	Colonize	
120	39	7.2517085	6.263158	Colonize	121	28.49567	6.9333334	Colonize	
130	39	7.2517085	6.263158	Colonize	131	30.00749	6.9384613	Colonize	
140	39	7.2517085	6.263158	Colonize	141	31.865217	6.9857144	Colonize	
150	39	7.2517085	6.263158	Colonize	151	33.190697	7.04	Colonize	
160	39	7.2517085	6.263158	Colonize	161	34.527145	7.075	Colonize	
170	39	7.2517085	6.263158	Colonize	171	36.144974	7.105882	Colonize	
180	39	7.2517085	6.263158	Colonize	181	38.556858	7.1444445	Colonize	
190	39	7.2517085	6.263158	Colonize	191	40.68827	7.1789474	Colonize	
200	39	7.2517085	6.263158	Colonize	201	42.71624	7.21	Colonize	
210	39	7.2517085	6.263158	Colonize	211	44.917206	7.2285714	Colonize	
220	39	7.2517085	6.263158	Colonize	221	47.178276	7.2363634	Colonize	
230	39	7.2517085	6.263158	Colonize	231	49.046062	7.2608695	Colonize	
240	39	7.2517085	6.263158	Colonize	241	52.073673	7.275	Colonize	
250	39	7.2517085	6.263158	Colonize	251	53.696774	7.296	Colonize	
260	39	7.2517085	6.263158	Colonize	261	57.00992	7.3076925	Colonize	
270	39	7.2517085	6.263158	Colonize	271	60.32772	7.3185186	Colonize	
280	39	7.2517085	6.263158	Colonize	281	63.30445	7.3285713	Colonize	
290	39	7.2517085	6.263158	Colonize	291	66.48396	7.337931	Colonize	
300	39	7.2517085	6.263158	Colonize	301	70.53809	7.34	Colonize	
310	39	7.2517085	6.263158	Colonize	311	72.34245	7.354839	Colonize	
320	39	7.2517085	6.263158	Colonize	321	74.34609	7.3625	Colonize	
330	39	7.2517085	6.263158	Colonize	331	76.18908	7.369697	Colonize	
340	39	7.2517085	6.263158	Colonize	341	78.10028	7.382353	Colonize	
350	39	7.2517085	6.263158	Colonize	351	80.0103	7.3885713	Colonize	
360	39	7.2517085	6.263158	Colonize	361	81.89482	7.4	Colonize	
370	39	7.2517085	6.263158	Colonize	368	82.6442	7.4184785	Null	
380	39	7.2517085	6.263158	Colonize	368	82.6442	7.4184785	Null	
390	39	7.2517085	6.263158	Colonize	368	82.6442	7.4184785	Null	
400	39	7.2517085	6.263158	Colonize	368	82.6442	7.4184785	Null	
410	39	7.2517085	6.263158	Colonize	368	82.6442	7.4184785	Null	
