SIMULATION PARAMETERS:
n = 18
m = 32
p = 5
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.0	k_R = 0.0	k_A_bar = 1.0
NATION 1:	k_S = 0.704896	k_R = 0.16801745	k_A_bar = 0.12708662
NATION 2:	k_S = 0.4846503	k_R = 0.24353255	k_A_bar = 0.27181712
NATION 3:	k_S = 0.06605567	k_R = 0.54844594	k_A_bar = 0.3854984
NATION 4:	k_S = 0.5029913	k_R = 0.15496476	k_A_bar = 0.3420439
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	NATION 4 S	NATION 4 R	NATION 4 A_BAR	NATION 4 ACTION	
10	11	2.9348383	4.6	Colonize	11	2.5415254	4.6	Colonize	11	5.095522	4.6	Colonize	11	2.6514914	4.6	Colonize	11	2.1173944	4.6	Colonize	
20	21	4.7711897	5.5	Colonize	21	4.235146	5.5	Colonize	21	9.692433	5.4	Colonize	21	7.665646	5.5	Colonize	21	4.3883443	5.5	Colonize	
30	31	6.895233	5.9333334	Colonize	31	7.505134	5.8	Colonize	31	13.919832	6.0	Colonize	31	10.710272	5.9333334	Colonize	31	7.2001877	5.8	Colonize	
40	39	8.601758	6.25	Abandon	41	9.679717	6.1	Colonize	41	17.389875	6.3	Colonize	41	12.869317	6.25	Colonize	41	8.808069	6.15	Colonize	
50	38	7.9288473	6.263158	Reinforce	51	11.133238	6.4	Colonize	51	19.894451	6.44	Colonize	51	15.256777	6.4	Colonize	51	10.58545	6.32	Colonize	
60	38	7.442254	6.263158	Reinforce	61	13.322676	6.6	Colonize	61	21.795914	6.6	Colonize	61	17.004944	6.5666666	Colonize	61	12.933065	6.4666667	Colonize	
70	39	6.0714726	6.263158	Colonize	71	15.651823	6.6857142	Colonize	71	23.125933	6.6857142	Contest	71	18.597218	6.6571426	Colonize	71	13.88535	6.6285715	Colonize	
80	36	4.48824	6.2222223	Contest	81	17.079052	6.775	Colonize	81	24.703434	6.75	Colonize	81	20.073374	6.7	Colonize	78	15.070797	6.5897436	Contest	
90	36	2.5418668	6.2222223	Contest	91	17.8313	6.8444443	Colonize	91	26.677994	6.822222	Colonize	91	21.554386	6.7777777	Colonize	85	16.652048	6.547619	Colonize	
100	37	2.43975	6.2222223	Colonize	93	17.126057	6.8172045	Contest	101	29.035456	6.84	Colonize	101	23.061743	6.84	Colonize	94	18.264853	6.4946237	Colonize	
110	37	2.43975	6.2222223	Colonize	93	15.179684	6.8172045	Contest	111	31.031532	6.890909	Colonize	111	24.546608	6.927273	Colonize	104	19.865736	6.407767	Colonize	
120	37	2.43975	6.2222223	Colonize	93	13.233311	6.8172045	Contest	121	32.52777	6.9166665	Colonize	121	26.480484	6.9666667	Colonize	110	20.187387	6.330275	Colonize	
130	37	2.43975	6.2222223	Colonize	93	11.432916	6.8172045	Reinforce	131	33.94229	6.9076924	Contest	128	27.650646	6.96875	Null	110	20.187387	6.330275	Colonize	
140	37	2.43975	6.2222223	Colonize	93	9.924477	6.8172045	Contest	141	34.90634	6.928571	Colonize	126	27.051723	6.968254	Null	110	20.187387	6.330275	Colonize	
150	37	2.43975	6.2222223	Colonize	93	7.9781036	6.8172045	Contest	151	37.838287	6.9466667	Colonize	126	27.051723	6.968254	Null	110	20.187387	6.330275	Colonize	
160	37	2.43975	6.2222223	Colonize	93	6.0317307	6.8172045	Contest	161	39.388348	6.975	Contest	122	26.104572	6.9593496	Null	110	20.187387	6.330275	Colonize	
170	37	2.43975	6.2222223	Colonize	93	4.0853577	6.8172045	Contest	168	38.773876	7.0238094	Contest	117	24.462914	6.905983	Contest	110	20.187387	6.330275	Colonize	
180	37	2.43975	6.2222223	Colonize	93	2.1389847	6.8172045	Contest	175	38.477833	7.0574713	Contest	111	22.412317	6.857143	Null	110	20.187387	6.330275	Colonize	
190	37	2.43975	6.2222223	Colonize	93	0.19261283	6.8172045	Contest	184	38.38732	7.097826	Contest	105	21.243341	6.7809525	Contest	110	20.187387	6.330275	Colonize	
200	37	2.43975	6.2222223	Colonize	93	0.19261283	6.826087	Colonize	190	37.323845	7.1263156	Contest	100	19.718615	6.72	Contest	110	20.187387	6.330275	Colonize	
210	35	2.1233935	6.1666665	Abandon	93	0.19261283	6.826087	Colonize	189	36.724487	7.1157894	Abandon	100	19.353563	6.7474747	Colonize	108	20.051207	6.330275	Abandon	
220	35	2.1233935	6.1666665	Abandon	93	0.19261283	6.826087	Colonize	189	36.724487	7.1157894	Abandon	100	19.353563	6.7474747	Colonize	108	20.051207	6.330275	Abandon	
230	35	2.1233935	6.1666665	Abandon	93	0.19261283	6.826087	Colonize	189	36.724487	7.1157894	Abandon	100	19.353563	6.7474747	Colonize	108	20.051207	6.330275	Abandon	
240	35	2.1233935	6.1666665	Abandon	93	0.19261283	6.826087	Colonize	189	36.724487	7.1157894	Abandon	100	19.353563	6.7474747	Colonize	108	20.051207	6.330275	Abandon	
250	35	2.1233935	6.1666665	Abandon	93	0.19261283	6.826087	Colonize	189	36.724487	7.1157894	Abandon	100	19.353563	6.7474747	Colonize	108	20.051207	6.330275	Abandon	
