SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.4000018
E_C = 0.4000018
E_R = 0.10000045
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.3136647	4.6	Colonize	11	2.2584774	4.4	Colonize	
20	21	5.8415303	5.5	Colonize	21	3.716571	5.5	Colonize	
30	31	8.2838335	5.9333334	Colonize	31	5.627827	5.9333334	Colonize	
40	41	11.46959	6.15	Colonize	41	10.341357	5.9	Colonize	
50	51	14.147858	6.4	Colonize	51	13.912067	6.04	Colonize	
60	61	16.147879	6.5666666	Colonize	61	15.864065	6.4	Colonize	
70	71	18.317265	6.714286	Colonize	71	18.220093	6.571429	Colonize	
80	81	20.618723	6.75	Colonize	81	19.758028	6.7	Colonize	
90	91	23.478836	6.8	Colonize	91	22.121967	6.8	Colonize	
100	101	25.323511	6.88	Colonize	101	23.588661	6.88	Colonize	
110	111	27.431845	6.8727274	Colonize	111	25.3597	6.9454546	Colonize	
120	121	28.495668	6.9333334	Colonize	121	27.593948	6.983333	Colonize	
130	131	30.007488	6.9384613	Colonize	131	30.407948	7.0	Colonize	
140	141	32.21758	6.9857144	Colonize	141	33.09714	7.0	Colonize	
150	151	33.190697	7.04	Colonize	151	35.115948	7.0533333	Colonize	
160	161	35.620472	7.0375	Colonize	161	39.448257	7.0625	Colonize	
170	171	37.39308	7.0588236	Colonize	171	43.183758	7.0941176	Colonize	
180	181	39.165314	7.0333333	Colonize	181	47.265614	7.111111	Colonize	
190	191	40.2774	7.063158	Colonize	191	51.173374	7.1263156	Colonize	
200	201	41.006645	7.08	Colonize	201	53.909023	7.15	Colonize	
210	207	41.58518	7.048077	Abandon	211	55.491306	7.1809525	Colonize	
220	207	41.58518	7.048077	Abandon	221	57.272198	7.2090907	Colonize	
230	207	41.58518	7.048077	Abandon	231	58.929287	7.2434783	Colonize	
240	207	41.58518	7.048077	Abandon	241	60.869095	7.266667	Colonize	
250	207	41.58518	7.048077	Abandon	251	63.525448	7.272	Colonize	
260	207	41.58518	7.048077	Abandon	261	65.9333	7.292308	Colonize	
270	207	41.58518	7.048077	Abandon	271	67.436844	7.3185186	Colonize	
280	207	41.58518	7.048077	Abandon	281	69.25267	7.3357143	Colonize	
290	207	41.58518	7.048077	Abandon	291	70.8108	7.3448277	Colonize	
300	207	41.58518	7.048077	Abandon	301	72.873215	7.3533335	Colonize	
310	207	41.58518	7.07767	Colonize	311	74.37382	7.3741937	Colonize	
320	207	41.58518	7.048077	Abandon	321	76.097694	7.36875	Colonize	
330	207	41.4475	7.07767	Colonize	331	77.93694	7.369697	Colonize	
340	207	41.4475	7.07767	Colonize	341	81.2767	7.3705883	Colonize	
350	205	41.292534	7.07767	Abandon	343	81.46268	7.360465	Abandon	
360	205	41.292534	7.07767	Abandon	343	81.46268	7.360465	Abandon	
370	205	41.292534	7.07767	Abandon	343	81.46268	7.360465	Abandon	
380	205	41.292534	7.07767	Abandon	343	81.46268	7.360465	Abandon	
390	205	41.292534	7.07767	Abandon	343	81.46268	7.360465	Abandon	
