SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	5.123749	4.6	Colonize	11	2.5514202	4.6	Colonize	
20	21	9.334231	5.5	Colonize	21	4.2014933	5.5	Colonize	
30	31	13.860746	6.0666666	Colonize	31	6.1803665	5.866667	Colonize	
40	41	17.389875	6.3	Colonize	41	8.657325	6.15	Colonize	
50	51	19.894451	6.44	Colonize	51	10.682976	6.32	Colonize	
60	61	21.795914	6.6	Colonize	61	12.661103	6.5	Colonize	
70	71	23.904482	6.6857142	Colonize	71	14.300856	6.6285715	Colonize	
80	81	26.27994	6.725	Colonize	81	15.900974	6.725	Colonize	
90	91	27.819485	6.8	Colonize	91	18.792583	6.733333	Colonize	
100	101	29.639938	6.88	Colonize	101	21.177603	6.76	Colonize	
110	111	32.15472	6.927273	Colonize	111	23.808483	6.8545456	Colonize	
120	121	34.25514	7.0	Colonize	121	27.417929	6.883333	Colonize	
130	131	36.12434	7.046154	Colonize	131	30.027256	6.9076924	Colonize	
140	141	38.498394	7.071429	Colonize	141	31.989555	6.957143	Colonize	
150	151	40.377712	7.0933332	Colonize	151	33.27739	7.0133333	Colonize	
160	161	42.298916	7.125	Colonize	161	35.62047	7.0375	Colonize	
170	171	44.05248	7.152941	Colonize	171	37.168957	7.070588	Colonize	
180	181	46.102116	7.177778	Colonize	181	40.154404	7.111111	Colonize	
190	191	48.29381	7.1894736	Colonize	191	41.773193	7.1473684	Colonize	
200	201	53.20158	7.14	Colonize	201	43.351284	7.19	Colonize	
210	211	55.678265	7.1809525	Colonize	211	45.380295	7.2	Colonize	
220	221	57.35974	7.2181816	Colonize	221	47.286682	7.2272725	Colonize	
230	231	58.72913	7.252174	Colonize	231	49.5243	7.226087	Colonize	
240	241	60.368797	7.266667	Colonize	241	50.770386	7.2166667	Colonize	
250	251	62.19591	7.272	Colonize	251	51.467052	7.208	Colonize	
260	261	64.158646	7.292308	Colonize	254	51.61587	7.2047243	Null	
270	271	65.787476	7.303704	Colonize	254	51.61587	7.2047243	Null	
280	281	67.22369	7.3	Colonize	254	51.61587	7.2047243	Null	
290	291	70.32592	7.2965517	Colonize	254	51.61587	7.2047243	Null	
300	301	71.59828	7.306667	Contest	253	51.220646	7.2047243	Null	
310	304	70.437996	7.287129	Contest	251	49.35026	7.198413	Null	
320	314	71.96937	7.226837	Contest	239	45.261967	7.108333	Reinforce	
330	324	72.99177	7.26935	Contest	234	43.77914	7.06383	Reinforce	
340	334	73.90626	7.183183	Contest	224	40.431705	6.862222	Reinforce	
350	344	74.0198	7.1836734	Contest	215	38.127445	6.8333335	Reinforce	
360	354	74.3165	7.1104817	Contest	200	34.70783	6.742574	Abandon	
370	364	74.7641	7.0633607	Contest	185	31.110374	6.6989245	Reinforce	
380	374	75.49623	7.008043	Contest	172	27.406845	6.597701	Abandon	
390	384	76.40096	6.9608355	Contest	162	24.069199	6.3680983	Reinforce	
400	394	78.59077	6.875318	Contest	152	19.44647	5.973856	Reinforce	
410	404	79.20078	6.833747	Contest	139	15.9777	5.6879435	Abandon	
420	413	80.28499	6.8689322	Colonize	128	14.158802	5.751938	Abandon	
430	421	81.41814	6.890995	Abandon	128	14.158802	5.7480316	Colonize	
440	421	81.41814	6.9	Colonize	128	14.158802	5.7480316	Colonize	
450	421	81.41814	6.9	Colonize	128	14.158802	5.7480316	Colonize	
460	421	81.41814	6.9	Colonize	128	14.158802	5.7480316	Colonize	
470	421	81.41814	6.9	Colonize	128	14.158802	5.7480316	Colonize	
