SIMULATION PARAMETERS:
n = 18
m = 32
p = 3
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 2:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	
10	11	3.1457262	4.6	Colonize	11	2.8697252	4.6	Colonize	11	4.540535	4.4	Colonize	
20	21	5.2489223	5.5	Colonize	21	5.183539	5.6	Colonize	21	8.777532	5.3	Colonize	
30	31	7.937178	5.9333334	Colonize	31	8.596462	5.9333334	Colonize	31	11.41689	5.866667	Colonize	
40	41	10.371915	6.15	Colonize	41	12.980309	6.15	Colonize	41	13.682263	6.15	Colonize	
50	51	12.907661	6.36	Colonize	51	16.95586	6.36	Colonize	51	14.854619	6.36	Colonize	
60	61	15.609813	6.5333333	Colonize	61	20.154152	6.5333333	Colonize	61	16.302715	6.5333333	Colonize	
70	71	19.169708	6.6285715	Colonize	71	23.365118	6.6571426	Colonize	71	17.565735	6.6285715	Colonize	
80	81	21.554693	6.725	Colonize	81	25.990747	6.75	Colonize	81	18.988756	6.7	Colonize	
90	91	23.478838	6.8	Colonize	91	27.819487	6.8	Colonize	91	20.613205	6.7777777	Colonize	
100	101	25.323513	6.9	Colonize	101	29.61242	6.88	Colonize	101	22.117144	6.84	Colonize	
110	111	27.431847	6.8727274	Colonize	111	32.433666	6.927273	Colonize	111	24.12574	6.890909	Colonize	
120	121	28.49567	6.9333334	Colonize	121	33.927326	6.983333	Colonize	121	25.809065	6.9333334	Colonize	
130	131	30.00749	6.9384613	Colonize	131	35.901875	7.0153847	Colonize	131	28.394949	6.9384613	Colonize	
140	141	32.21758	6.9857144	Colonize	141	39.102146	7.0142856	Colonize	141	30.257586	6.9142857	Colonize	
150	151	33.190697	7.04	Colonize	151	40.68248	7.0666666	Colonize	151	33.305553	6.8933334	Colonize	
160	161	35.620472	7.0375	Colonize	161	42.190044	7.1	Colonize	161	34.996376	6.9	Colonize	
170	171	37.39308	7.0588236	Colonize	171	43.72502	7.117647	Colonize	171	36.537464	6.894118	Colonize	
180	180	38.68806	7.0333333	Null	181	44.375347	7.1444445	Colonize	174	36.791332	6.8735633	Null	
190	181	38.574623	7.038674	Null	187	43.72158	7.144385	Contest	171	35.358433	6.8538013	Contest	
200	188	38.353497	7.0425534	Contest	191	42.980732	7.1368423	Contest	166	32.724167	6.790419	Contest	
210	195	37.756264	7.0	Colonize	201	43.650616	7.14	Contest	149	28.444126	6.693333	Reinforce	
220	194	37.569874	7.0051284	Abandon	211	46.72103	7.0571427	Contest	139	22.940758	6.5	Reinforce	
230	194	37.569874	7.0051284	Abandon	221	47.731373	7.0545454	Contest	129	19.546118	6.353846	Reinforce	
240	194	37.569874	7.0051284	Abandon	231	48.360806	7.0086956	Contest	124	17.41572	6.144	Reinforce	
250	194	37.569874	7.0051284	Abandon	241	48.964363	6.9666667	Contest	113	14.295026	5.982456	Reinforce	
260	194	37.569874	7.0051284	Abandon	251	50.305466	6.904	Contest	102	10.940511	5.923077	Abandon	
270	194	37.569874	7.0051284	Abandon	260	50.78789	6.864865	Colonize	93	8.787108	5.7419353	Reinforce	
280	194	37.569874	7.0051284	Abandon	263	50.999928	6.9160304	Colonize	86	7.0229607	5.8850574	Abandon	
290	194	37.569874	7.0051284	Abandon	269	51.53546	7.0	Colonize	76	6.085758	6.051948	Abandon	
300	194	37.569874	7.0051284	Abandon	271	51.618984	7.0735292	Abandon	72	5.5358596	6.0547943	Abandon	
310	194	37.569874	7.0051284	Abandon	271	51.618984	7.0735292	Abandon	72	5.5358596	6.0547943	Abandon	
320	194	37.569874	7.0051284	Abandon	271	51.618984	7.0735292	Abandon	72	5.5358596	6.0547943	Abandon	
330	194	37.569874	7.0051284	Abandon	271	51.618984	7.0735292	Abandon	72	5.5358596	6.0547943	Abandon	
340	194	37.569874	7.0051284	Abandon	271	51.618984	7.0735292	Abandon	72	5.5358596	6.0547943	Abandon	
