SIMULATION PARAMETERS:
n = 18
m = 32
p = 3
resource_noise_scale = 0.41666666
q = 0.12566859
E_C = 0.12566859
E_R = 0.031417146
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 2:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	
10	11	2.5605643	4.6	Colonize	11	3.624196	4.4	Colonize	11	3.375348	4.6	Colonize	
20	21	4.4709983	5.5	Colonize	21	6.543672	5.3	Colonize	21	7.1070657	5.5	Colonize	
30	31	6.562022	5.9333334	Colonize	31	8.697971	5.866667	Colonize	31	11.049449	6.0	Colonize	
40	41	9.108116	6.15	Colonize	41	10.634863	6.25	Colonize	41	13.682264	6.15	Colonize	
50	51	10.866374	6.4	Colonize	51	12.638736	6.44	Colonize	51	15.124755	6.36	Colonize	
60	61	13.150466	6.5666666	Colonize	61	15.528817	6.6	Colonize	61	17.266027	6.4666667	Colonize	
70	71	14.398909	6.6285715	Colonize	71	17.272081	6.6857142	Colonize	71	18.749554	6.6285715	Colonize	
80	81	16.57192	6.7	Colonize	81	18.217756	6.75	Colonize	81	20.589151	6.725	Colonize	
90	91	18.138937	6.7555556	Colonize	91	19.636665	6.8	Colonize	91	22.441635	6.7777777	Colonize	
100	101	19.849941	6.8	Colonize	101	22.31754	6.8	Colonize	101	24.015545	6.84	Colonize	
110	111	22.113625	6.836364	Colonize	111	26.713112	6.8	Colonize	111	26.914627	6.8545456	Colonize	
120	121	25.284502	6.866667	Colonize	121	29.19987	6.85	Colonize	121	29.000193	6.9	Colonize	
130	131	27.573395	6.8923078	Colonize	131	30.736378	6.9384613	Colonize	131	30.623968	6.953846	Colonize	
140	141	29.436249	6.9142857	Colonize	141	34.457127	6.9142857	Contest	141	32.254955	7.0142856	Colonize	
150	151	30.330105	6.9333334	Colonize	151	37.190285	6.9466667	Contest	147	32.32938	7.0612245	Colonize	
160	161	30.558224	6.9875	Contest	151	35.93361	6.927152	Contest	143	30.650633	7.013889	Contest	
170	171	30.665607	7.0	Contest	151	34.676933	6.927152	Contest	137	28.76761	6.9710145	Contest	
180	175	30.31259	7.0057144	Contest	158	35.783463	6.9808917	Colonize	130	25.387571	6.923077	Contest	
190	175	29.055895	7.0057144	Contest	168	36.76387	7.017964	Contest	122	22.270086	6.8617887	Contest	
200	184	29.318914	7.0273223	Contest	178	39.293377	7.0056496	Colonize	122	22.422419	6.803279	Colonize	
210	185	27.924793	7.027027	Contest	184	39.40294	7.0	Contest	126	23.189005	6.848	Colonize	
220	183	26.109829	7.0273223	Contest	186	38.54941	7.0054054	Contest	134	24.87145	6.880597	Contest	
230	173	22.636244	6.982857	Null	194	39.004726	7.0362697	Contest	138	24.65607	6.9197083	Contest	
240	154	17.90775	6.9419355	Reinforce	204	40.734406	7.004926	Contest	148	25.364876	7.0068026	Colonize	
250	147	16.01591	6.9054055	Reinforce	214	42.27945	7.0422535	Contest	158	27.303661	7.057325	Colonize	
260	136	13.45974	6.7737226	Reinforce	224	43.090965	7.004484	Contest	168	28.933466	7.1137724	Colonize	
270	124	10.752948	6.704	Reinforce	234	44.254745	6.969957	Contest	178	30.804663	7.084746	Colonize	
280	115	7.4644947	6.5172415	Reinforce	244	46.308094	6.8806586	Contest	186	32.658566	7.091892	Colonize	
290	111	5.857241	6.4684687	Reinforce	254	47.64867	6.964427	Contest	196	34.38651	7.1384616	Colonize	
300	101	3.463244	6.19802	Reinforce	259	47.382027	6.934363	Contest	206	35.22249	7.1512194	Contest	
310	101	3.1490726	6.19802	Reinforce	259	46.12535	6.949807	Contest	206	33.965813	7.145631	Contest	
320	96	2.2416716	6.2916665	Reinforce	260	45.12009	6.9846153	Contest	208	32.922207	7.1634617	Contest	
330	96	0.98498625	6.2916665	Contest	260	43.863415	6.9846153	Contest	208	31.665525	7.1634617	Contest	
340	93	-0.08294337	6.2978725	Abandon	260	42.60674	6.9846153	Contest	208	30.40883	7.1634617	Contest	
350	83	-0.14453736	6.5	Abandon	261	41.549397	6.988506	Contest	208	29.035746	7.1634617	Contest	
360	79	0.054684278	6.4871793	Colonize	263	40.850536	6.9961977	Contest	208	27.510351	7.1538463	Contest	
370	79	0.054684278	6.4871793	Colonize	270	41.255398	7.0037174	Contest	202	25.431576	7.133005	Null	
380	79	0.054684278	6.4871793	Colonize	280	42.60899	6.967742	Contest	189	22.350033	7.0526314	Reinforce	
390	79	0.054684278	6.4871793	Colonize	290	44.0854	6.9273357	Contest	177	19.199709	6.921348	Reinforce	
400	79	0.054684278	6.4871793	Colonize	300	47.585186	6.8160534	Contest	167	14.129072	6.702381	Reinforce	
410	79	0.054684278	6.4871793	Colonize	310	50.42721	6.815534	Contest	157	9.716203	6.620253	Reinforce	
420	79	0.054684278	6.4871793	Colonize	320	51.708908	6.7586207	Contest	147	6.951168	6.324324	Reinforce	
430	79	0.054684278	6.4871793	Colonize	330	53.43797	6.7051673	Contest	137	3.6512578	6.0	Reinforce	
440	79	0.054684278	6.4871793	Colonize	340	55.53528	6.5899706	Contest	127	-0.016896993	5.71875	Reinforce	
450	79	0.054684278	6.4871793	Colonize	350	56.012268	6.538682	Contest	107	-0.27692488	5.357798	Abandon	
460	79	0.054684278	6.4871793	Colonize	360	56.870647	6.518106	Contest	87	-0.41067684	5.101124	Abandon	
470	79	0.054684278	6.4871793	Colonize	370	56.9443	6.531165	Contest	68	-0.21706796	4.9714284	Abandon	
480	79	0.054684278	6.4871793	Colonize	380	57.457478	6.469657	Contest	48	-0.5025065	4.36	Abandon	
490	80	0.09713522	6.506329	Colonize	390	57.31219	6.5141387	Contest	30	-0.22563776	4.1875	Abandon	
500	80	0.09713522	6.506329	Colonize	400	56.957344	6.501253	Contest	10	-0.17339368	4.1666665	Abandon	
510	80	0.09713522	6.506329	Colonize	410	58.20407	6.625917	Colonize	1	0.0	0.0	Null	
520	80	0.09713522	6.506329	Colonize	420	60.16662	6.7732697	Colonize	1	0.0	0.0	Null	
530	80	0.09713522	6.506329	Colonize	430	61.44293	6.904429	Colonize	1	0.0	0.0	Null	
540	77	-0.19889337	6.455696	Abandon	440	62.18598	7.0113897	Contest	1	0.0	0.0	Null	
550	59	-0.15295312	5.8305087	Colonize	450	63.352444	6.9398665	Contest	1	0.0	0.0	Null	
560	43	-0.4646963	5.6444445	Abandon	460	64.482574	6.91939	Contest	1	0.0	0.0	Null	
570	23	-0.2620812	3.84	Abandon	470	65.595825	6.8656716	Contest	1	0.0	0.0	Null	
580	8	-0.15060075	2.6666667	Abandon	480	65.488914	6.8726516	Contest	1	0.0	0.0	Null	
590	1	0.0	0.0	Null	490	66.96872	6.973415	Colonize	1	0.0	0.0	Null	
600	1	0.0	0.0	Null	498	67.793594	7.0784707	Colonize	1	0.0	0.0	Null	
610	1	0.0	0.0	Null	508	68.71584	7.1558185	Colonize	1	0.0	0.0	Null	
620	1	0.0	0.0	Null	518	69.77564	7.230174	Colonize	1	0.0	0.0	Null	
630	1	0.0	0.0	Null	528	70.43812	7.2979126	Contest	1	0.0	0.0	Null	
640	1	0.0	0.0	Null	538	71.552216	7.378026	Colonize	1	0.0	0.0	Null	
650	1	0.0	0.0	Null	542	70.96312	7.4428043	Contest	1	0.0	0.0	Null	
660	1	0.0	0.0	Null	542	69.706406	7.4428043	Contest	1	0.0	0.0	Null	
670	1	0.0	0.0	Null	542	68.44969	7.4428043	Contest	1	0.0	0.0	Null	
680	1	0.0	0.0	Null	547	68.75236	7.4468865	Colonize	1	0.0	0.0	Null	
690	1	0.0	0.0	Null	555	69.77715	7.462094	Colonize	1	0.0	0.0	Null	
700	1	0.0	0.0	Null	556	69.63615	7.473874	Colonize	1	0.0	0.0	Null	
710	1	0.0	0.0	Null	554	68.69081	7.475588	Colonize	1	0.0	0.0	Null	
720	1	0.0	0.0	Null	552	67.84996	7.477314	Colonize	2	0.10847856	0.0	Colonize	
730	1	0.0	0.0	Null	552	67.84996	7.477314	Colonize	2	0.10847856	0.0	Colonize	
740	1	0.0	0.0	Null	552	67.84996	7.477314	Colonize	2	0.10847856	0.0	Colonize	
750	1	0.0	0.0	Null	552	67.84996	7.477314	Colonize	2	0.10847856	0.0	Colonize	
760	1	0.0	0.0	Null	552	67.84996	7.477314	Colonize	2	0.10847856	0.0	Colonize	
