SIMULATION PARAMETERS:
n = 18
m = 32
p = 4
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 2:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 3:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	
10	11	2.238902	4.6	Colonize	11	3.1717	4.6	Colonize	11	3.3152606	4.6	Colonize	11	3.6186936	4.6	Colonize	
20	21	4.2473707	5.5	Colonize	21	7.7180696	5.5	Colonize	21	5.84153	5.5	Colonize	21	5.931969	5.6	Colonize	
30	31	6.562022	5.9333334	Colonize	31	11.002937	6.0	Colonize	31	8.283833	5.9333334	Colonize	31	7.713723	6.0	Colonize	
40	41	9.108116	6.15	Colonize	41	13.281577	6.25	Colonize	41	11.110097	6.2	Colonize	41	10.030078	6.2	Colonize	
50	51	10.866374	6.4	Colonize	51	15.164987	6.44	Colonize	51	14.147858	6.4	Colonize	51	12.023859	6.44	Colonize	
60	61	13.150467	6.5666666	Colonize	61	17.01385	6.5333333	Colonize	61	16.127354	6.5666666	Colonize	61	14.030116	6.5666666	Colonize	
70	69	13.6700945	6.6285715	Null	71	18.71737	6.6571426	Colonize	71	17.485983	6.6857142	Contest	71	15.848766	6.6857142	Colonize	
80	65	12.239044	6.4923077	Reinforce	81	20.520472	6.725	Colonize	81	17.710922	6.775	Contest	81	17.226639	6.8	Colonize	
90	65	11.168539	6.4923077	Contest	91	22.11286	6.7777777	Colonize	91	18.65524	6.8444443	Colonize	91	19.900436	6.8	Colonize	
100	64	9.3415365	6.5	Contest	101	23.456087	6.88	Colonize	101	19.541698	6.88	Colonize	101	23.68915	6.86	Colonize	
110	62	9.077982	6.5079365	Abandon	111	24.93315	6.9454546	Colonize	111	20.503002	6.909091	Colonize	111	28.012451	6.8545456	Colonize	
120	62	9.077982	6.5079365	Abandon	121	26.94709	6.983333	Colonize	113	21.042515	6.859649	Abandon	121	32.143814	6.866667	Colonize	
130	62	9.077982	6.5079365	Abandon	131	29.162983	7.0307693	Colonize	113	21.042515	6.892857	Colonize	131	35.765656	6.876923	Contest	
140	62	9.077982	6.5079365	Abandon	141	31.766884	7.0571427	Colonize	112	20.603428	6.884956	Abandon	141	37.18093	6.928571	Colonize	
150	62	9.077982	6.5079365	Abandon	151	33.829308	7.08	Colonize	113	20.555931	6.892857	Colonize	151	37.648796	6.96	Contest	
160	62	9.077982	6.5079365	Abandon	161	35.329918	7.1375	Colonize	112	20.311478	6.884956	Abandon	161	39.25862	6.975	Colonize	
170	62	9.077982	6.5079365	Abandon	171	36.854767	7.1411767	Colonize	113	20.361298	6.892857	Colonize	171	40.91715	6.964706	Colonize	
180	62	9.077982	6.5079365	Abandon	178	38.141277	7.1299434	Colonize	113	20.361298	6.892857	Colonize	181	41.35597	6.9888887	Contest	
190	63	9.055631	6.5079365	Reinforce	184	39.73217	7.1086955	Contest	113	20.361298	6.892857	Colonize	189	40.695312	7.026455	Contest	
200	62	8.396751	6.5079365	Abandon	184	37.785797	7.1086955	Contest	113	20.361298	6.892857	Colonize	189	38.74894	7.026455	Contest	
210	63	7.936466	6.516129	Colonize	185	36.13676	7.1086955	Contest	113	20.361298	6.892857	Colonize	188	36.50523	7.026455	Contest	
220	63	7.936466	6.516129	Colonize	188	36.389595	7.100529	Abandon	113	20.361298	6.892857	Colonize	188	36.50523	7.026738	Colonize	
230	63	7.936466	6.516129	Colonize	188	36.389595	7.100529	Abandon	113	20.361298	6.892857	Colonize	188	36.50523	7.026738	Colonize	
240	63	7.936466	6.516129	Colonize	188	36.389595	7.100529	Abandon	113	20.361298	6.892857	Colonize	188	36.50523	7.026738	Colonize	
250	63	7.936466	6.516129	Colonize	188	36.389595	7.100529	Abandon	113	20.361298	6.892857	Colonize	188	36.50523	7.026738	Colonize	
260	63	7.936466	6.516129	Colonize	188	36.389595	7.100529	Abandon	113	20.361298	6.892857	Colonize	188	36.50523	7.026738	Colonize	
