SIMULATION PARAMETERS:
n = 18
m = 32
p = 4
resource_noise_scale = 0.41666666
q = 0.12566859
E_C = 0.12566859
E_R = 0.031417146
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 2:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 3:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	
10	11	1.9335157	4.6	Colonize	11	2.7409215	4.6	Colonize	11	2.7458496	4.6	Colonize	11	3.2885983	4.6	Colonize	
20	21	3.9310052	5.5	Colonize	21	5.4173255	5.6	Colonize	21	7.2915545	5.5	Colonize	21	5.4071693	5.5	Colonize	
30	31	6.0378337	6.0	Colonize	31	6.978781	6.0	Colonize	31	11.063904	6.0	Colonize	31	7.737649	6.0	Colonize	
40	41	8.294942	6.25	Colonize	41	9.523515	6.25	Colonize	41	15.137334	6.2	Colonize	41	10.198518	6.2	Colonize	
50	51	10.50514	6.44	Colonize	51	11.574045	6.44	Colonize	51	18.78433	6.4	Colonize	51	12.538226	6.36	Colonize	
60	61	12.253944	6.5	Colonize	61	13.855446	6.6	Colonize	61	21.496618	6.5333333	Colonize	61	15.152318	6.5	Colonize	
70	71	13.781782	6.6285715	Colonize	71	15.545242	6.714286	Colonize	71	23.351593	6.6857142	Colonize	71	17.821875	6.6285715	Colonize	
80	81	16.882988	6.675	Colonize	81	17.178215	6.775	Colonize	81	25.408955	6.725	Colonize	81	21.369087	6.7	Colonize	
90	91	18.903013	6.7777777	Colonize	91	18.33738	6.8	Colonize	91	27.724604	6.7555556	Colonize	91	23.711946	6.7777777	Colonize	
100	101	21.183447	6.82	Colonize	101	19.382141	6.82	Colonize	101	28.847904	6.82	Contest	101	25.64471	6.84	Colonize	
110	111	22.917902	6.8545456	Colonize	111	23.039448	6.7636366	Colonize	111	29.78816	6.890909	Colonize	111	27.306177	6.8727274	Colonize	
120	121	24.571613	6.9	Colonize	120	26.823769	6.7058825	Colonize	121	30.396812	6.9166665	Contest	121	28.326254	6.9333334	Colonize	
130	131	26.040363	6.9076924	Colonize	129	28.128176	6.734375	Colonize	130	30.825489	6.9457364	Contest	131	30.140125	6.923077	Colonize	
140	141	27.585249	6.9	Contest	129	26.608381	6.728682	Contest	131	29.96402	6.961832	Contest	141	31.286686	6.957143	Colonize	
150	150	30.303455	6.95302	Contest	114	20.652325	6.6896553	Contest	132	28.985456	6.9545455	Contest	151	31.511229	6.9733334	Contest	
160	160	33.510223	6.9685535	Contest	98	14.150012	6.646465	Contest	133	27.996935	6.9545455	Contest	160	31.24874	7.025	Contest	
170	170	34.062634	6.95858	Contest	69	7.35667	6.361111	Abandon	143	29.606323	6.9859157	Contest	167	31.641018	7.0361447	Contest	
180	180	34.4145	6.9608936	Contest	39	1.5879745	5.72093	Abandon	153	30.60416	7.0526314	Contest	177	32.607876	7.034091	Contest	
190	190	35.27873	6.9206347	Colonize	5	-0.29159135	2.25	Abandon	163	30.585213	7.0987654	Contest	187	33.567772	7.0215054	Contest	
200	193	34.202293	6.943005	Contest	0	-0.09294503	0.0	Null	165	29.546148	7.1151514	Contest	197	33.874325	7.0510206	Contest	
210	199	34.187843	6.979798	Contest	0	-0.09294503	0.0	Null	159	26.509405	7.09434	Contest	201	33.842716	7.084577	Contest	
220	209	34.94231	7.048077	Contest	0	-0.09294503	0.0	Null	151	23.597315	7.0526314	Contest	201	32.58604	7.084577	Contest	
230	219	35.423016	7.1100917	Contest	0	-0.09294503	0.0	Null	142	20.739464	7.020979	Contest	201	31.329346	7.084577	Contest	
240	229	36.307796	7.140351	Contest	0	-0.09294503	0.0	Null	132	17.341307	6.9323306	Contest	201	30.07265	7.084577	Contest	
250	239	37.723877	7.1260505	Contest	0	-0.09294503	0.0	Null	114	11.7523775	6.672414	Reinforce	209	31.29228	7.0865383	Contest	
260	249	41.168385	7.064516	Contest	0	-0.09294503	0.0	Null	94	4.2242274	6.0416665	Abandon	219	32.526886	7.0825686	Contest	
270	259	44.634018	7.007752	Contest	0	-0.09294503	0.0	Null	71	-0.8702965	5.216216	Abandon	229	33.06459	7.0877194	Contest	
280	269	47.30124	7.052239	Contest	0	-0.09294503	0.0	Null	44	-0.5291116	4.6086955	Abandon	239	33.268246	7.0840335	Contest	
290	279	48.871517	7.1079135	Contest	0	-0.09294503	0.0	Null	27	-0.22558141	4.62069	Abandon	245	31.877491	7.2	Contest	
300	289	50.15706	7.111111	Contest	0	-0.09294503	0.0	Null	11	-0.061673842	3.6666667	Abandon	249	30.935707	7.2208834	Reinforce	
310	299	52.28332	7.0402684	Contest	0	-0.09294503	0.0	Null	2	0.0	1.0	Null	237	27.101261	7.0970464	Colonize	
320	309	53.703197	7.012987	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	229	24.469126	7.0	Reinforce	
330	319	55.406082	6.937107	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	215	20.703487	6.9074073	Reinforce	
340	329	56.597275	6.9207315	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	202	17.881248	6.955665	Reinforce	
350	339	57.89724	6.8757396	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	190	14.800058	6.8541665	Abandon	
360	349	58.413185	6.856322	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	180	12.713267	6.7513814	Reinforce	
370	359	60.087543	6.7988825	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	170	9.468064	6.5964913	Reinforce	
380	369	61.561913	6.75	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	160	6.422855	6.3229814	Reinforce	
390	379	64.25658	6.6613755	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	150	2.1573427	5.9072847	Reinforce	
400	389	65.80432	6.628866	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	137	-0.45654666	5.6115108	Abandon	
410	399	66.77587	6.6180906	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	117	-0.39993805	5.512605	Abandon	
420	409	68.8555	6.5931373	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	98	-0.41817954	5.42	Abandon	
430	419	69.64439	6.6267943	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	88	-0.10345129	5.2727275	Colonize	
440	429	70.255226	6.640187	Colonize	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	70	-0.14772855	5.2957745	Abandon	
450	439	70.26109	6.6666665	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	59	0.02491764	4.8135595	Colonize	
460	449	69.87597	6.629464	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	41	-0.07944024	4.0465117	Abandon	
470	459	69.258286	6.6157207	Contest	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	21	-0.11964512	2.8695652	Abandon	
480	469	70.06343	6.7521367	Colonize	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	11	-0.13993344	2.8333333	Abandon	
490	479	71.05458	6.8995814	Colonize	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	1	-0.21487996	1.0	Abandon	
500	489	72.39986	7.0286884	Colonize	0	-0.09294503	0.0	Null	0	-0.1941649	0.0	Null	1	0.0	0.0	Null	
