SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	5.5896883	4.6	Colonize	11	3.1728253	4.6	Colonize	
20	21	9.133486	5.5	Colonize	21	5.709927	5.4	Colonize	
30	31	11.738791	5.9333334	Colonize	31	8.2838335	5.9333334	Colonize	
40	41	13.682262	6.15	Colonize	41	11.46959	6.15	Colonize	
50	51	15.124753	6.36	Colonize	51	14.147858	6.4	Colonize	
60	61	17.266026	6.4666667	Colonize	61	16.147879	6.5666666	Colonize	
70	71	18.749552	6.6285715	Colonize	71	18.317265	6.714286	Colonize	
80	81	20.58915	6.725	Colonize	81	20.618723	6.75	Colonize	
90	91	22.441633	6.7777777	Colonize	91	23.478836	6.8	Colonize	
100	101	24.015543	6.84	Colonize	101	25.323511	6.88	Colonize	
110	111	26.914625	6.8545456	Colonize	111	27.431845	6.8727274	Colonize	
120	121	30.577887	6.866667	Colonize	121	28.495668	6.9333334	Colonize	
130	131	35.1444	6.876923	Colonize	131	30.007488	6.9384613	Colonize	
140	141	38.84075	6.9142857	Colonize	141	32.21758	6.9857144	Colonize	
150	151	42.505108	6.9333334	Colonize	151	33.190697	7.04	Colonize	
160	161	44.729794	6.9875	Colonize	161	35.620472	7.0375	Colonize	
170	171	46.869125	7.035294	Colonize	171	37.16896	7.070588	Colonize	
180	181	48.43209	7.077778	Colonize	181	39.880573	7.1222224	Colonize	
190	191	50.235622	7.1157894	Colonize	191	40.83418	7.1684213	Colonize	
200	201	51.873257	7.16	Colonize	201	42.518883	7.19	Colonize	
210	211	53.32467	7.2	Colonize	211	44.768673	7.1904764	Colonize	
220	221	55.310112	7.2272725	Colonize	221	45.821487	7.190909	Colonize	
230	231	56.861416	7.252174	Colonize	231	46.411854	7.191304	Colonize	
240	241	59.099766	7.266667	Colonize	236	46.992638	7.1694913	Null	
250	251	61.372562	7.288	Colonize	236	46.992638	7.1694913	Null	
260	259	62.974392	7.248062	Contest	232	45.032013	7.136752	Abandon	
270	269	63.056038	7.238806	Contest	224	43.475883	7.0530972	Abandon	
280	279	62.36818	7.273381	Contest	217	42.70435	7.0458717	Null	
290	289	62.781242	7.2430553	Contest	209	40.505737	6.937799	Colonize	
300	299	64.05761	7.2214766	Contest	199	37.282993	6.81407	Colonize	
310	309	64.56614	7.2207794	Contest	189	34.82812	6.708995	Colonize	
320	319	65.02853	7.2138367	Contest	177	32.273083	6.6101694	Colonize	
330	329	65.36524	7.195122	Contest	165	29.62802	6.4969697	Colonize	
340	339	66.5607	7.183432	Contest	155	26.486229	6.4387097	Colonize	
350	347	67.30369	7.202312	Colonize	152	25.896423	6.437086	Colonize	
360	356	68.72201	7.222535	Colonize	152	25.896423	6.437086	Colonize	
370	366	70.612885	7.238356	Colonize	152	25.896423	6.437086	Colonize	
380	376	72.288025	7.2533336	Colonize	152	25.896423	6.437086	Colonize	
390	386	73.897964	7.257143	Colonize	152	25.896423	6.437086	Colonize	
400	396	75.84181	7.2607594	Colonize	152	25.896423	6.437086	Colonize	
410	406	78.85033	7.2641973	Colonize	152	25.896423	6.437086	Colonize	
420	412	79.68208	7.270073	Colonize	146	25.224583	6.4761906	Abandon	
430	412	79.68208	7.270073	Colonize	146	25.224583	6.4965515	Colonize	
440	412	79.68208	7.270073	Colonize	146	25.224583	6.4965515	Colonize	
450	412	79.68208	7.270073	Colonize	146	25.224583	6.4965515	Colonize	
460	412	79.68208	7.270073	Colonize	146	25.224583	6.4965515	Colonize	
