SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.2	k_A_bar = 0.6
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	5.14347	4.6	Colonize	11	3.0826502	4.4	Colonize	
20	21	9.446568	5.6	Colonize	21	6.7109323	5.5	Colonize	
30	31	13.919832	6.0	Colonize	31	11.316318	5.9333334	Colonize	
40	41	17.389875	6.3	Colonize	41	12.86932	6.25	Colonize	
50	51	19.894451	6.44	Colonize	51	15.25678	6.4	Colonize	
60	61	21.795914	6.6	Colonize	61	17.004946	6.5666666	Colonize	
70	71	23.904482	6.6857142	Colonize	71	18.614258	6.6571426	Colonize	
80	81	25.315851	6.775	Contest	81	20.081924	6.775	Colonize	
90	91	27.945723	6.822222	Colonize	91	21.940441	6.822222	Colonize	
100	101	30.327637	6.88	Colonize	101	23.605124	6.84	Colonize	
110	111	31.809835	6.9454546	Colonize	111	24.893097	6.909091	Colonize	
120	121	33.085785	6.983333	Colonize	121	26.3907	6.9333334	Colonize	
130	131	35.11589	7.0	Colonize	131	27.883333	6.9846153	Colonize	
140	141	36.98175	7.0142856	Colonize	141	29.4718	7.0285716	Colonize	
150	151	37.51276	7.0533333	Contest	151	31.54982	7.0666666	Colonize	
160	161	37.522137	7.1	Contest	155	32.871185	7.051948	Colonize	
170	171	37.627724	7.1294117	Contest	155	33.16319	7.0451612	Colonize	
180	178	37.094948	7.141243	Contest	155	32.709114	7.0064516	Colonize	
190	186	37.508263	7.1675677	Contest	161	33.47355	6.9937887	Colonize	
200	196	39.19659	7.179487	Colonize	171	34.838165	7.035294	Colonize	
210	204	39.980118	7.2058825	Colonize	181	37.73484	7.0333333	Contest	
220	204	39.519432	7.1666665	Colonize	191	38.478622	7.021053	Contest	
230	204	38.970993	7.142857	Colonize	200	38.691204	7.035176	Colonize	
240	214	40.90411	7.1549296	Colonize	210	40.672363	7.07177	Colonize	
250	223	42.37375	7.171171	Colonize	219	42.147034	7.0825686	Colonize	
260	233	44.942497	7.198276	Colonize	221	42.71463	7.081818	Colonize	
270	240	46.5605	7.225	Contest	220	42.515503	7.076923	Abandon	
280	245	47.635223	7.235772	Abandon	220	42.515503	7.076923	Abandon	
290	254	49.146896	7.256917	Colonize	221	42.61731	7.081818	Colonize	
300	264	51.405373	7.269962	Colonize	221	42.61731	7.081818	Colonize	
310	271	52.557926	7.276753	Contest	220	42.418182	7.076923	Abandon	
320	279	54.2022	7.2805758	Colonize	220	42.22996	7.0776258	Colonize	
330	287	55.70561	7.286713	Colonize	220	42.13264	7.0776258	Colonize	
340	297	57.40062	7.3040543	Colonize	220	42.13264	7.0776258	Colonize	
350	307	59.378414	7.3202615	Colonize	220	42.13264	7.0776258	Colonize	
360	317	61.570534	7.335443	Colonize	220	42.13264	7.0776258	Colonize	
370	325	63.226498	7.3415384	Contest	219	41.933514	7.072727	Abandon	
380	334	64.89748	7.3513513	Colonize	220	42.03532	7.0776258	Colonize	
390	338	65.557846	7.345133	Abandon	220	42.03532	7.0776258	Colonize	
400	338	65.557846	7.345133	Abandon	220	42.03532	7.0776258	Colonize	
410	338	65.557846	7.345133	Abandon	220	42.03532	7.0776258	Colonize	
420	338	65.557846	7.345133	Abandon	220	42.03532	7.0776258	Colonize	
430	338	65.557846	7.345133	Abandon	220	42.03532	7.0776258	Colonize	
