SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.2	k_A_bar = 0.6
NATION 1:	k_S = 0.2	k_R = 0.6	k_A_bar = 0.2
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.5979905	4.6	Colonize	11	5.434799	4.4	Colonize	
20	21	6.3032084	5.5	Colonize	21	9.133486	5.5	Colonize	
30	31	8.398525	5.9333334	Colonize	31	11.738791	5.9333334	Colonize	
40	41	10.477453	6.2	Colonize	41	13.905829	6.1	Colonize	
50	51	12.517829	6.4	Colonize	51	16.057123	6.24	Colonize	
60	61	14.054246	6.6	Colonize	61	18.640629	6.266667	Colonize	
70	71	15.92969	6.714286	Colonize	71	20.31838	6.4857144	Colonize	
80	81	17.224453	6.775	Colonize	81	23.242517	6.45	Colonize	
90	91	18.450415	6.822222	Colonize	91	27.779106	6.4444447	Colonize	
100	101	19.210007	6.88	Colonize	101	32.250343	6.48	Colonize	
110	111	20.55206	6.927273	Colonize	111	36.504337	6.5636363	Colonize	
120	121	22.636524	6.9333334	Colonize	121	39.75198	6.65	Colonize	
130	131	24.043997	6.9692307	Colonize	131	41.852764	6.723077	Colonize	
140	141	25.98771	7.0142856	Colonize	141	43.77048	6.785714	Colonize	
150	151	28.318102	7.0533333	Colonize	151	45.687424	6.826667	Colonize	
160	161	30.571285	7.0875	Colonize	161	48.12304	6.8375	Colonize	
170	171	32.443054	7.105882	Colonize	171	49.985992	6.882353	Colonize	
180	181	34.755077	7.1222224	Colonize	181	52.67451	6.866667	Colonize	
190	191	37.57516	7.1473684	Colonize	191	54.50811	6.978947	Colonize	
200	201	39.9944	7.17	Colonize	201	55.96265	7.03	Colonize	
210	211	42.657234	7.2	Colonize	211	57.288242	7.0666666	Colonize	
220	221	44.82809	7.2090907	Colonize	221	59.029568	7.090909	Colonize	
230	231	47.72594	7.226087	Colonize	231	60.880543	7.1130433	Colonize	
240	241	50.35849	7.225	Colonize	241	62.190968	7.1916666	Colonize	
250	251	52.068775	7.24	Colonize	251	65.558014	7.12	Colonize	
260	257	53.16752	7.2373543	Null	261	66.88317	7.1923075	Colonize	
270	257	53.16752	7.2373543	Null	271	68.3278	7.237037	Colonize	
280	257	53.16752	7.2373543	Null	281	69.61498	7.242857	Colonize	
290	256	52.177055	7.203125	Contest	287	68.95767	7.219512	Contest	
300	256	50.116783	7.203125	Contest	287	67.12524	7.219512	Contest	
310	250	46.807182	7.0793653	Abandon	296	68.57985	7.1525426	Contest	
320	233	43.492176	7.068376	Abandon	306	68.99805	7.114754	Contest	
330	225	40.734795	6.9251103	Abandon	316	70.00471	7.0793653	Contest	
340	212	37.75635	6.915888	Abandon	326	70.40556	7.0584617	Contest	
350	198	35.71095	6.88	Abandon	336	70.171844	7.068657	Contest	
360	185	32.540802	6.8128343	Abandon	346	70.69486	6.9913044	Contest	
370	177	29.422941	6.6892657	Colonize	356	71.99597	6.890141	Contest	
380	166	26.620096	6.638554	Colonize	366	72.466866	6.8767123	Contest	
390	154	23.115124	6.5064936	Colonize	376	73.619095	6.816	Contest	
400	152	22.65578	6.450331	Colonize	384	74.36467	6.851175	Colonize	
410	152	22.65578	6.450331	Colonize	394	75.610146	6.9109416	Colonize	
420	152	22.65578	6.450331	Colonize	394	75.610146	6.9211197	Colonize	
430	152	22.65578	6.450331	Colonize	394	75.610146	6.9211197	Colonize	
440	152	22.65578	6.450331	Colonize	394	75.610146	6.9211197	Colonize	
450	152	22.65578	6.450331	Colonize	394	75.610146	6.9211197	Colonize	
