SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.2	k_A_bar = 0.6
NATION 1:	k_S = 0.6	k_R = 0.2	k_A_bar = 0.2
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.1664002	4.6	Colonize	11	1.9602671	4.6	Colonize	
20	21	4.8997803	5.4	Colonize	21	6.4339304	5.3	Colonize	
30	31	7.284214	5.9333334	Colonize	31	10.185394	5.733333	Colonize	
40	41	10.169135	6.25	Colonize	41	12.395408	6.15	Colonize	
50	51	14.135454	6.4	Colonize	51	14.388595	6.36	Colonize	
60	61	18.49298	6.5	Colonize	61	16.369566	6.5	Colonize	
70	71	23.007523	6.542857	Colonize	71	18.451427	6.571429	Colonize	
80	81	26.121069	6.65	Colonize	81	19.946987	6.7	Colonize	
90	91	27.918636	6.7777777	Colonize	91	21.774843	6.7777777	Colonize	
100	101	29.91289	6.86	Colonize	101	23.394777	6.82	Colonize	
110	111	31.529823	6.909091	Colonize	111	24.828678	6.909091	Colonize	
120	121	32.585487	6.95	Contest	120	26.500795	6.9411764	Colonize	
130	131	32.878666	7.0153847	Contest	124	26.681477	6.9268293	Colonize	
140	141	33.46551	7.0571427	Contest	127	26.54995	6.913386	Colonize	
150	151	34.164776	7.0933332	Contest	135	28.014565	6.8955226	Colonize	
160	161	34.07081	7.125	Contest	135	28.404163	6.725926	Colonize	
170	169	33.999847	7.147929	Colonize	140	30.276602	6.6330934	Contest	
180	169	33.522602	7.1360946	Colonize	147	29.792408	6.712329	Contest	
190	170	33.276043	7.112426	Colonize	152	29.363731	6.728477	Colonize	
200	179	34.78394	7.1348314	Colonize	162	30.754324	6.732919	Colonize	
210	187	35.710663	7.139785	Colonize	172	32.75851	6.760234	Colonize	
220	197	36.88624	7.1530614	Colonize	182	35.551952	6.762431	Colonize	
230	207	38.645775	7.184466	Colonize	190	36.627464	6.7619047	Colonize	
240	217	41.267887	7.1944447	Colonize	200	38.451935	6.7437186	Colonize	
250	227	43.27979	7.2123895	Colonize	210	39.84276	6.755981	Colonize	
260	237	45.629723	7.220339	Colonize	220	41.41728	6.767123	Colonize	
270	247	47.868855	7.219512	Colonize	230	43.43723	6.759825	Colonize	
280	257	49.610176	7.2265625	Colonize	240	45.827057	6.7698746	Colonize	
290	267	51.18397	7.2406015	Colonize	250	48.152454	6.7871485	Colonize	
300	277	53.69208	7.253623	Colonize	256	49.652412	6.7921567	Colonize	
310	284	55.135212	7.2508836	Colonize	255	49.30882	6.78125	Abandon	
320	288	55.81652	7.247387	Colonize	255	49.30882	6.7952757	Colonize	
330	288	55.81652	7.247387	Colonize	255	49.30882	6.7952757	Colonize	
340	288	55.81652	7.247387	Colonize	255	49.30882	6.7952757	Colonize	
350	288	55.81652	7.247387	Colonize	255	49.30882	6.7952757	Colonize	
360	288	55.81652	7.247387	Colonize	255	49.30882	6.7952757	Colonize	
