SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.6	k_A_bar = 0.2
NATION 1:	k_S = 0.6	k_R = 0.2	k_A_bar = 0.2
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.0908318	4.6	Colonize	11	2.7409215	4.6	Colonize	
20	21	5.633721	5.3	Colonize	21	5.4173255	5.6	Colonize	
30	31	7.0138226	5.9333334	Colonize	31	7.370882	5.9333334	Colonize	
40	41	9.04098	6.1	Colonize	41	10.15786	6.15	Colonize	
50	51	10.982041	6.4	Colonize	51	12.405965	6.4	Colonize	
60	61	14.515405	6.233333	Colonize	61	14.53428	6.5333333	Colonize	
70	71	19.371756	6.1714287	Colonize	71	15.936894	6.6857142	Colonize	
80	81	22.32299	6.35	Colonize	81	17.185747	6.775	Colonize	
90	91	24.325155	6.5333333	Colonize	91	18.575352	6.8444443	Colonize	
100	101	26.438623	6.64	Colonize	101	20.562944	6.9	Colonize	
110	111	28.362797	6.672727	Colonize	111	23.686499	6.927273	Colonize	
120	121	33.071033	6.516667	Colonize	121	27.538622	6.95	Colonize	
130	131	36.047283	6.5538464	Colonize	131	29.757072	6.9692307	Colonize	
140	141	37.852924	6.642857	Colonize	141	30.847141	7.042857	Colonize	
150	151	40.121758	6.7466664	Colonize	151	32.786327	7.0533333	Colonize	
160	161	42.066257	6.8375	Contest	160	34.41546	7.1	Colonize	
170	161	40.119884	6.8074536	Contest	160	32.469086	7.0875	Contest	
180	170	42.586624	6.757396	Contest	161	29.649902	7.0434785	Colonize	
190	180	44.80283	6.8156424	Contest	164	29.020008	7.085366	Colonize	
200	190	46.49485	6.846561	Contest	167	30.293262	7.017964	Colonize	
210	200	47.627567	6.984925	Contest	172	31.078876	7.0930233	Colonize	
220	210	49.178314	6.8708134	Contest	172	29.637379	6.860465	Colonize	
230	220	49.718925	6.8858447	Contest	172	29.068747	6.7906976	Colonize	
240	230	50.464542	6.864629	Contest	172	28.657553	6.6744184	Colonize	
250	240	51.063805	6.8200836	Contest	172	28.655737	6.5930233	Colonize	
260	250	50.943806	6.8915663	Contest	172	29.999039	6.662791	Colonize	
270	259	50.305412	6.918919	Contest	173	31.030647	6.72093	Colonize	
280	268	51.92339	6.906367	Colonize	183	32.804916	6.769231	Colonize	
290	277	53.58688	6.905797	Colonize	193	34.822803	6.8229165	Colonize	
300	287	54.91102	6.965035	Colonize	203	36.84275	6.8514853	Colonize	
310	297	56.11398	7.0472975	Colonize	213	38.409428	6.8679247	Colonize	
320	307	59.711784	6.986928	Colonize	223	39.59428	6.855856	Colonize	
330	317	60.828598	7.075949	Colonize	229	39.806297	6.8608694	Abandon	
340	327	62.18807	7.1104293	Colonize	229	39.806297	6.8608694	Abandon	
350	327	62.18807	7.115854	Abandon	229	39.806297	6.8608694	Abandon	
360	327	62.18807	7.115854	Abandon	229	39.806297	6.8608694	Abandon	
370	327	62.18807	7.115854	Abandon	229	39.806297	6.8608694	Abandon	
380	327	62.18807	7.115854	Abandon	229	39.806297	6.8608694	Abandon	
390	327	62.18807	7.115854	Abandon	229	39.806297	6.8608694	Abandon	
