SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.6	k_R = 0.2	k_A_bar = 0.2
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.5786605	4.6	Colonize	11	3.1457262	4.6	Colonize	
20	21	5.7769403	5.5	Colonize	21	5.2489223	5.5	Colonize	
30	31	7.7999825	5.9333334	Colonize	31	7.937178	5.9333334	Colonize	
40	41	9.677263	6.2	Colonize	41	10.786801	6.05	Colonize	
50	51	12.269548	6.4	Colonize	51	12.907661	6.36	Colonize	
60	61	14.203273	6.5333333	Colonize	61	15.609813	6.5333333	Colonize	
70	71	15.804256	6.6571426	Colonize	71	19.169708	6.6285715	Colonize	
80	81	17.317274	6.75	Colonize	81	21.554693	6.725	Colonize	
90	91	19.327812	6.8	Colonize	91	23.478838	6.8	Colonize	
100	101	21.11258	6.82	Colonize	101	25.323513	6.88	Colonize	
110	111	22.809723	6.890909	Colonize	111	27.431847	6.8727274	Colonize	
120	121	25.091331	6.9333334	Colonize	121	28.49567	6.9333334	Colonize	
130	131	27.637293	6.953846	Colonize	131	30.00749	6.9384613	Colonize	
140	141	29.471972	7.0142856	Colonize	141	32.21758	6.9857144	Colonize	
150	151	32.60684	7.04	Colonize	151	33.190697	7.04	Colonize	
160	161	35.86244	7.075	Colonize	161	35.620472	7.0375	Colonize	
170	171	40.152164	7.082353	Colonize	171	37.16896	7.070588	Colonize	
180	181	44.758213	7.0666666	Colonize	181	40.154408	7.111111	Colonize	
190	191	47.57199	7.1263156	Colonize	191	41.773197	7.1473684	Colonize	
200	201	50.84419	7.16	Colonize	201	43.62036	7.18	Colonize	
210	211	53.285244	7.1904764	Colonize	211	45.232357	7.2095237	Colonize	
220	221	55.41653	7.2090907	Colonize	221	47.096424	7.2363634	Colonize	
230	231	59.156807	7.208696	Colonize	231	49.168003	7.2434783	Colonize	
240	241	62.874588	7.2	Colonize	241	51.207634	7.241667	Colonize	
250	251	64.58265	7.256	Colonize	251	52.3067	7.256	Colonize	
260	261	66.0333	7.276923	Colonize	261	53.559174	7.2615385	Colonize	
270	271	67.827774	7.274074	Colonize	271	54.319035	7.251852	Colonize	
280	281	68.084076	7.25	Contest	272	54.036407	7.230769	Null	
290	289	68.05275	7.2083335	Contest	261	51.479744	7.201521	Abandon	
300	299	67.86313	7.201342	Contest	248	49.72598	7.184	Abandon	
310	306	67.0596	7.193443	Contest	238	47.781635	7.196653	Null	
320	314	67.09212	7.175719	Contest	230	45.413513	7.186147	Null	
330	324	67.99278	7.1578946	Contest	219	42.314625	7.1272726	Reinforce	
340	334	69.7473	7.117117	Contest	208	37.99769	7.0047846	Reinforce	
350	344	69.99927	7.090379	Contest	196	35.216125	6.964467	Reinforce	
360	354	70.29597	7.036827	Contest	181	31.915882	6.9560437	Reinforce	
370	363	70.52434	7.0110497	Colonize	171	29.485075	6.8255816	Abandon	
380	373	71.479416	7.096774	Colonize	169	29.106777	6.8588233	Abandon	
390	383	73.133224	7.188482	Colonize	169	29.106777	6.8588233	Abandon	
400	393	74.25715	7.2193875	Colonize	169	29.106777	6.8588233	Abandon	
410	391	73.916466	7.230769	Colonize	169	29.106777	6.8588233	Abandon	
420	391	73.916466	7.230769	Colonize	169	29.106777	6.8588233	Abandon	
430	391	73.916466	7.230769	Colonize	169	29.106777	6.8588233	Abandon	
440	391	73.916466	7.230769	Colonize	169	29.106777	6.8588233	Abandon	
