SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
1	1	1.0	0.0	Null	1	1.0	0.0	Null	
2	2	1.528335	0.0	Colonize	2	1.6151102	0.0	Colonize	
3	3	1.9956096	0.5	Colonize	3	2.027013	0.5	Colonize	
4	4	2.4406717	1.3333334	Colonize	4	2.2753696	1.3333334	Colonize	
5	5	2.8563118	1.75	Colonize	5	2.4663818	1.75	Colonize	
6	6	3.253295	2.4	Colonize	6	2.5954309	2.4	Colonize	
7	7	3.636117	2.5	Colonize	7	2.7105227	2.8333333	Colonize	
8	8	4.0164433	2.857143	Colonize	8	2.7871788	3.142857	Colonize	
9	9	4.296199	3.375	Colonize	9	2.835089	3.375	Colonize	
10	10	5.296199	3.5555556	Colonize	10	3.835089	3.5555556	Colonize	
11	11	5.8568125	4.8	Colonize	11	4.298185	4.8	Colonize	
12	12	6.3397036	4.909091	Colonize	12	4.4911904	4.7272725	Colonize	
13	13	6.679487	5.0	Colonize	13	4.582664	5.0	Colonize	
14	14	7.2424507	5.076923	Colonize	14	5.106487	5.076923	Colonize	
15	15	7.6889396	5.0	Colonize	15	5.332983	5.0	Colonize	
16	16	8.0759115	5.0666666	Colonize	16	5.449075	5.2	Colonize	
17	17	8.467743	5.375	Colonize	17	5.8421555	5.25	Colonize	
18	18	9.020142	5.4117646	Colonize	18	6.0309424	5.1764708	Colonize	
19	19	9.561939	5.3333335	Colonize	19	6.113231	5.3333335	Colonize	
20	20	10.052182	5.4736843	Colonize	20	6.560099	5.368421	Colonize	
21	21	10.318805	5.6	Colonize	21	6.919132	5.3	Colonize	
22	22	10.787837	5.6190476	Colonize	22	7.165648	5.428571	Colonize	
23	23	11.153797	5.5454545	Colonize	23	7.4928455	5.5454545	Colonize	
24	24	11.446109	5.652174	Colonize	24	7.674093	5.652174	Colonize	
25	25	11.858106	5.75	Colonize	25	7.941662	5.75	Colonize	
26	26	12.299369	5.84	Colonize	26	8.282254	5.76	Colonize	
27	27	12.8277235	5.8461537	Colonize	27	8.537697	5.769231	Colonize	
28	28	13.263506	5.7777777	Colonize	28	8.7822485	5.851852	Colonize	
29	29	13.590333	5.857143	Colonize	29	8.9838505	5.857143	Colonize	
30	30	14.055121	5.9310346	Colonize	30	9.1976795	5.9310346	Colonize	
31	31	14.351251	6.0	Colonize	31	9.386904	6.0	Colonize	
32	32	15.010828	6.0	Colonize	32	9.680507	6.0	Colonize	
33	33	15.508947	5.9375	Colonize	33	9.927529	6.0	Colonize	
34	34	15.919018	6.0	Colonize	34	10.151365	5.939394	Colonize	
35	35	16.34777	6.0588236	Colonize	35	10.309301	6.0588236	Colonize	
36	36	16.797836	6.114286	Colonize	36	10.381064	6.114286	Colonize	
37	37	16.992947	6.1666665	Colonize	37	10.756232	6.111111	Colonize	
38	38	17.461714	6.1621623	Colonize	38	10.906093	6.0540543	Colonize	
39	39	17.870358	6.1578946	Colonize	39	10.983678	6.105263	Colonize	
40	40	18.206686	6.1538463	Colonize	40	11.053667	6.1538463	Colonize	
41	41	18.508938	6.2	Colonize	41	11.190692	6.2	Colonize	
42	42	18.720337	6.243902	Colonize	42	11.542217	6.195122	Colonize	
43	43	19.04845	6.285714	Colonize	43	11.682145	6.142857	Colonize	
44	44	19.424969	6.27907	Colonize	44	11.757412	6.1860466	Colonize	
45	45	19.738434	6.2727275	Colonize	45	11.824688	6.2272725	Colonize	
46	46	20.043016	6.311111	Colonize	46	12.028348	6.266667	Colonize	
47	47	20.3449	6.347826	Colonize	47	12.358018	6.2608695	Colonize	
48	48	20.602467	6.382979	Colonize	48	12.596851	6.212766	Colonize	
49	49	20.826122	6.375	Colonize	49	12.668167	6.25	Colonize	
50	50	20.99198	6.408163	Colonize	50	12.788635	6.285714	Colonize	
51	51	21.263786	6.4	Colonize	51	12.929498	6.32	Colonize	
52	52	21.534628	6.392157	Colonize	52	12.981069	6.352941	Colonize	
53	53	21.740313	6.423077	Colonize	53	13.061999	6.3846154	Colonize	
54	54	21.94576	6.4528303	Colonize	54	13.15452	6.4150944	Colonize	
55	55	22.06015	6.4814816	Colonize	55	13.193465	6.4444447	Colonize	
56	56	22.150354	6.4727273	Colonize	56	13.669494	6.4363637	Colonize	
57	57	22.26735	6.5	Colonize	57	14.063051	6.392857	Colonize	
58	58	22.583908	6.491228	Colonize	58	14.147629	6.4210525	Colonize	
59	59	22.823399	6.4827585	Colonize	59	14.236788	6.448276	Colonize	
60	60	23.046665	6.4745765	Colonize	60	14.410768	6.4745765	Colonize	
61	61	23.232979	6.5	Colonize	61	14.514752	6.5	Colonize	
62	62	23.441267	6.52459	Colonize	62	14.691531	6.52459	Colonize	
63	63	23.580305	6.548387	Colonize	63	14.786999	6.548387	Colonize	
64	64	23.688179	6.571429	Colonize	64	14.870139	6.571429	Colonize	
65	65	24.038939	6.5625	Colonize	65	15.351493	6.5625	Colonize	
66	66	24.290709	6.5538464	Colonize	66	15.672778	6.523077	Colonize	
67	67	24.450623	6.5454545	Colonize	67	15.796405	6.4848485	Colonize	
68	68	24.599426	6.567164	Colonize	68	15.88766	6.477612	Colonize	
69	69	24.81134	6.5882354	Colonize	69	15.956316	6.529412	Colonize	
70	70	25.129934	6.6086955	Colonize	70	16.037516	6.5507245	Colonize	
71	71	25.300789	6.6285715	Contest	71	16.187492	6.571429	Colonize	
