SIMULATION PARAMETERS:
n = 18
m = 32
p = 6
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	NATION 4 S	NATION 4 R	NATION 4 A_BAR	NATION 4 ACTION	NATION 5 S	NATION 5 R	NATION 5 A_BAR	NATION 5 ACTION	
1	1	1.0	0.0	Null	1	1.0	0.0	Null	1	1.0	0.0	Null	1	1.0	0.0	Null	1	1.0	0.0	Null	1	1.0	0.0	Null	
2	2	1.3765187	0.0	Colonize	2	1.3507595	0.0	Colonize	2	1.1236266	0.0	Colonize	2	1.3240824	0.0	Colonize	2	1.3090193	0.0	Colonize	2	1.6151102	0.0	Colonize	
3	3	1.6340842	0.5	Colonize	3	1.6673182	0.5	Colonize	3	1.2195442	0.5	Colonize	3	1.6468505	0.5	Colonize	3	1.5521809	0.5	Colonize	3	2.027013	0.5	Colonize	
4	4	1.7787346	1.3333334	Colonize	4	1.9689035	1.3333334	Colonize	4	1.3107995	0.6666667	Colonize	4	1.8226812	1.3333334	Colonize	4	1.7862194	1.3333334	Colonize	4	2.3542106	1.3333334	Colonize	
5	5	1.9177723	1.75	Colonize	5	2.2662406	1.75	Colonize	5	1.3854289	1.25	Colonize	5	1.9763935	2.25	Colonize	5	2.0076973	1.25	Colonize	5	2.6217797	2.25	Colonize	
6	6	2.0256453	1.6	Colonize	6	2.55627	2.0	Colonize	6	1.4595912	2.4	Colonize	6	2.1098063	2.4	Colonize	6	2.2252822	1.2	Colonize	6	2.8701363	2.4	Colonize	
7	7	2.1273854	1.8333334	Colonize	7	2.8327267	2.5	Colonize	7	1.5282474	2.5	Colonize	7	2.1749516	2.8333333	Colonize	7	2.4350379	2.1666667	Colonize	7	3.0839648	2.8333333	Colonize	
8	8	2.2264955	2.5714285	Colonize	8	3.0722182	2.857143	Colonize	8	1.5834467	2.857143	Colonize	8	2.2262952	2.857143	Colonize	8	2.6425557	2.2857144	Colonize	8	3.2855663	3.142857	Colonize	
9	9	2.3166993	2.875	Colonize	9	3.2978814	3.375	Colonize	9	1.6070622	2.875	Colonize	9	2.2584524	3.375	Colonize	9	2.8205023	2.875	Colonize	9	3.4747906	3.375	Colonize	
10	10	3.3166993	3.5555556	Colonize	10	4.297881	3.5555556	Colonize	10	2.6070623	3.5555556	Colonize	10	3.2584524	3.5555556	Colonize	10	3.8205023	3.5555556	Colonize	10	4.4747906	3.5555556	Colonize	
11	11	3.9762769	4.8	Colonize	11	4.59278	4.8	Colonize	11	2.928347	4.8	Colonize	11	3.6542113	4.8	Colonize	11	4.258091	4.8	Colonize	11	4.937886	4.8	Colonize	
12	12	4.38492	4.7272725	Colonize	12	4.8489137	4.909091	Colonize	12	3.0185556	4.7272725	Colonize	12	3.940275	4.7272725	Colonize	12	4.6584077	4.7272725	Colonize	12	5.1933284	4.7272725	Colonize	
13	13	4.6255083	5.0	Colonize	13	5.006054	5.0	Colonize	13	3.0916145	4.6666665	Colonize	13	4.1491723	5.0	Colonize	13	4.798939	5.0	Colonize	13	5.439844	4.6666665	Colonize	
14	14	5.153863	5.076923	Colonize	14	5.274814	5.076923	Colonize	14	3.4431403	5.076923	Colonize	14	4.72083	5.076923	Colonize	14	5.1613317	5.076923	Colonize	14	5.963667	5.076923	Colonize	
15	15	5.467328	5.0	Colonize	15	5.475993	5.0	Colonize	15	3.583068	5.0	Colonize	15	5.126673	5.0	Colonize	15	5.4963264	5.0	Contest	15	6.3227	5.0	Colonize	
16	16	5.672776	5.2	Colonize	16	5.6385736	5.2	Colonize	16	3.6583347	5.2	Colonize	16	5.345167	5.2	Colonize	16	5.5828958	5.2	Contest	16	6.663292	5.2	Colonize	
17	17	5.8810635	5.375	Colonize	17	5.96108	5.25	Colonize	17	3.7256112	5.375	Colonize	17	6.009906	5.25	Colonize	17	5.855352	5.25	Colonize	17	7.11016	5.25	Colonize	
18	18	6.3791833	5.4117646	Colonize	18	6.1920195	5.1764708	Colonize	18	4.100779	5.4117646	Colonize	18	6.5089116	5.1764708	Colonize	18	5.9952855	5.2941175	Colonize	18	7.50324	5.2941175	Colonize	
19	19	6.8482156	5.4444447	Colonize	19	6.316832	5.3333335	Colonize	19	4.25064	5.3333335	Colonize	19	6.752503	5.3333335	Colonize	19	6.1155677	5.4444447	Colonize	19	7.7477922	5.3333335	Colonize	
20	20	7.316983	5.4736843	Colonize	20	6.6384315	5.368421	Colonize	20	4.328225	5.4736843	Colonize	20	7.3213997	5.368421	Colonize	20	6.1800137	5.4736843	Colonize	20	8.036329	5.368421	Colonize	
21	21	7.5794125	5.6	Colonize	21	6.903817	5.3	Colonize	21	4.398215	5.6	Colonize	21	7.8045855	5.3	Colonize	21	6.2323294	5.6	Contest	21	8.311023	5.3	Colonize	
22	22	8.131811	5.6190476	Colonize	22	7.0618434	5.428571	Colonize	22	4.718463	5.6190476	Colonize	22	8.194201	5.428571	Colonize	22	6.6517487	5.6190476	Colonize	22	8.546	5.3333335	Colonize	
23	23	8.541882	5.5454545	Colonize	23	7.417903	5.4545455	Colonize	23	5.0002756	5.6363635	Colonize	23	8.515703	5.5454545	Colonize	23	6.9340954	5.6363635	Colonize	23	8.77308	5.5454545	Colonize	
24	24	8.878209	5.652174	Colonize	24	7.6232653	5.3913045	Colonize	24	5.2773633	5.652174	Colonize	24	8.646005	5.652174	Colonize	24	7.1122375	5.7391305	Colonize	24	8.942758	5.652174	Colonize	
25	25	9.014534	5.75	Colonize	25	7.740856	5.5	Colonize	25	5.3969665	5.75	Colonize	25	8.928647	5.75	Contest	25	7.262213	5.75	Colonize	25	9.070806	5.75	Colonize	
26	26	9.556332	5.76	Colonize	26	7.916336	5.6	Colonize	26	5.547677	5.84	Colonize	26	9.599481	5.76	Colonize	26	7.3434134	5.84	Contest	26	9.355946	5.76	Colonize	
27	27	9.985085	5.6923075	Colonize	27	8.053535	5.6923075	Colonize	27	5.745548	5.8461537	Colonize	27	10.0986805	5.6923075	Colonize	27	7.824767	5.8461537	Colonize	27	9.611869	5.769231	Colonize	
28	28	10.287336	5.7777777	Colonize	28	8.266751	5.7777777	Colonize	28	5.936648	5.851852	Colonize	28	10.540578	5.7777777	Colonize	28	8.300796	5.851852	Colonize	28	9.841139	5.7777777	Colonize	
29	29	10.382136	5.857143	Colonize	29	8.418898	5.857143	Colonize	29	6.1095505	5.857143	Colonize	29	10.945836	5.857143	Colonize	29	8.6304655	5.928571	Colonize	29	10.075194	5.857143	Colonize	
30	30	10.910471	5.862069	Colonize	30	8.766982	5.862069	Colonize	30	6.2950587	6.0	Colonize	30	11.326883	5.9310346	Colonize	30	8.956277	6.0	Colonize	30	10.313051	5.862069	Colonize	
31	31	11.302302	5.8	Colonize	31	9.009694	5.866667	Colonize	31	6.4737706	6.0	Colonize	31	11.848925	6.0	Colonize	31	9.159937	6.0	Contest	31	10.544213	5.866667	Colonize	
32	32	11.6682625	5.870968	Colonize	32	9.206847	5.935484	Colonize	32	6.7627735	6.0	Colonize	32	12.230787	5.935484	Colonize	32	9.555162	6.0	Colonize	32	10.766507	5.806452	Colonize	
33	33	12.104045	5.9375	Colonize	33	9.294804	6.0	Colonize	33	6.9695063	5.9375	Colonize	33	12.512805	6.0	Colonize	33	9.833676	5.9375	Colonize	33	10.976129	5.9375	Colonize	
34	34	12.4086275	6.0	Colonize	34	9.308542	6.060606	Colonize	34	7.118331	5.939394	Colonize	34	12.829015	6.060606	Colonize	34	10.098622	6.0	Colonize	34	11.151918	6.0	Colonize	
35	35	12.679468	6.0588236	Colonize	35	9.377335	6.117647	Colonize	35	7.3415236	6.0588236	Colonize	35	13.204251	6.117647	Contest	35	10.2233	6.0588236	Colonize	35	11.34716	6.0588236	Colonize	
36	36	12.865782	6.114286	Colonize	36	9.63659	6.114286	Colonize	36	7.5244102	6.114286	Colonize	36	13.47042	6.114286	Contest	36	10.345758	6.114286	Colonize	36	11.452768	6.114286	Colonize	
37	37	13.356025	6.111111	Colonize	37	9.842274	6.111111	Colonize	37	7.8670125	6.111111	Colonize	37	13.773624	6.1666665	Colonize	37	10.412039	6.1666665	Colonize	37	11.7370205	6.111111	Colonize	
38	38	13.806091	6.108108	Colonize	38	9.956663	6.0540543	Colonize	38	8.159125	6.108108	Colonize	38	13.989301	6.108108	Colonize	38	10.690169	6.1621623	Colonize	38	12.014009	6.108108	Colonize	
39	39	14.188913	6.1578946	Colonize	39	10.154297	6.1578946	Colonize	39	8.433497	6.1578946	Colonize	39	14.138542	6.1578946	Colonize	39	10.919577	6.105263	Colonize	39	12.241388	6.1578946	Colonize	
