SIMULATION PARAMETERS:
n = 18
m = 32
p = 3
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	
1	1	1.0	0.0	Null	1	1.0	0.0	Null	1	1.0	0.0	Null	
2	2	1.2707705	0.0	Colonize	2	1.3952258	0.0	Colonize	2	1.3507595	0.0	Colonize	
3	3	1.4753062	0.5	Colonize	3	1.7210373	0.5	Colonize	3	1.6673182	0.5	Colonize	
4	4	1.6658659	0.6666667	Colonize	4	1.9991682	1.3333334	Colonize	4	1.9646553	1.3333334	Colonize	
5	5	1.8556072	1.25	Colonize	5	2.2641144	1.75	Colonize	5	2.2239106	1.25	Colonize	
6	6	2.0152798	2.4	Colonize	6	2.4935212	1.6	Colonize	6	2.4756815	1.2	Colonize	
7	7	3.0152798	2.8333333	Colonize	7	2.6716635	2.5	Colonize	7	2.7013447	2.1666667	Colonize	
8	8	3.2172685	3.857143	Colonize	8	2.8462882	3.142857	Colonize	8	2.907029	2.857143	Colonize	
9	9	3.3854933	4.125	Colonize	9	2.9665704	3.375	Colonize	9	3.0214179	2.875	Colonize	
10	10	3.538683	4.3333335	Colonize	10	3.9665704	3.5555556	Colonize	10	4.0214176	3.5555556	Colonize	
11	11	3.7942085	4.5	Colonize	11	4.447924	4.8	Colonize	11	4.323003	4.8	Colonize	
12	12	4.00035	4.4545455	Colonize	12	4.8673434	4.7272725	Colonize	12	4.6130323	4.909091	Colonize	
13	13	4.1442876	4.75	Colonize	13	5.1397996	5.0	Colonize	13	4.889489	5.0	Colonize	
14	14	4.391118	4.8461537	Colonize	14	5.6158276	5.076923	Colonize	14	5.184388	5.076923	Colonize	
15	15	4.537033	4.785714	Colonize	15	5.8981743	5.0	Colonize	15	5.4405217	5.142857	Colonize	
16	16	4.681637	4.733333	Colonize	16	6.038108	5.2	Colonize	16	5.597662	5.2	Colonize	
17	17	4.8755407	5.0625	Colonize	17	6.4316654	5.25	Colonize	17	5.7952957	5.375	Colonize	
18	18	5.0571914	5.117647	Colonize	18	6.750588	5.1764708	Colonize	18	6.0671024	5.4117646	Colonize	
19	19	5.1918993	5.1666665	Colonize	19	7.0187607	5.3333335	Colonize	19	6.2903686	5.3333335	Colonize	
20	20	5.358111	5.4210525	Colonize	20	7.337355	5.4736843	Colonize	20	6.450283	5.4736843	Colonize	
21	21	5.4913454	5.45	Colonize	21	7.54927	5.6	Colonize	21	6.5332265	5.6	Colonize	
22	22	5.770745	5.4761906	Colonize	22	7.8789406	5.6190476	Colonize	22	6.8351107	5.6190476	Colonize	
23	23	5.92469	5.409091	Colonize	23	8.117774	5.6363635	Colonize	23	7.0587673	5.5454545	Colonize	
24	24	6.061405	5.4347825	Colonize	24	8.26775	5.652174	Colonize	24	7.224625	5.652174	Colonize	
25	25	6.182384	5.625	Colonize	25	8.332195	5.75	Colonize	25	7.3494205	5.75	Colonize	
26	26	6.5697474	5.64	Colonize	26	8.553674	5.76	Colonize	26	7.453277	5.84	Colonize	
27	27	6.9187136	5.576923	Colonize	27	8.76343	5.769231	Colonize	27	7.918066	5.8461537	Colonize	
28	28	7.1143765	5.6666665	Colonize	28	8.970947	5.7777777	Colonize	28	8.244893	5.851852	Colonize	
29	29	7.2532015	5.75	Colonize	29	9.111479	5.928571	Colonize	29	8.541022	5.857143	Colonize	
30	30	7.621303	5.7586207	Colonize	30	9.236156	5.9310346	Colonize	30	8.802706	5.9310346	Colonize	
31	31	7.889969	5.7	Colonize	31	9.358055	6.0	Colonize	31	8.977416	6.0	Colonize	
32	32	8.049451	5.774194	Colonize	32	9.758372	6.0	Colonize	32	9.418679	6.0	Colonize	
33	33	8.248312	5.84375	Colonize	33	10.067391	5.9375	Colonize	33	9.830676	6.0	Colonize	
34	34	8.4093275	5.909091	Colonize	34	10.298049	6.0	Colonize	34	10.122988	6.060606	Colonize	
35	35	8.514272	5.970588	Colonize	35	10.475995	6.0588236	Colonize	35	10.288119	6.0588236	Colonize	
36	36	8.6358795	6.0285716	Colonize	36	10.5984535	6.114286	Colonize	36	10.337368	6.114286	Colonize	
37	37	8.939838	6.0277777	Colonize	37	10.79839	6.1666665	Colonize	37	10.9003315	6.111111	Colonize	
38	38	9.199822	6.027027	Colonize	38	11.235979	6.1621623	Colonize	38	11.346821	6.108108	Colonize	
39	39	9.399916	6.0789475	Colonize	39	11.47914	6.105263	Colonize	39	11.733793	6.0526314	Colonize	
40	40	9.590722	6.076923	Colonize	40	11.696725	6.1538463	Colonize	40	11.904635	6.1538463	Colonize	
41	41	9.7681	6.125	Colonize	41	11.930763	6.2	Colonize	41	11.96631	6.2	Colonize	
42	42	10.071371	6.121951	Colonize	42	11.997044	6.243902	Colonize	42	12.449201	6.195122	Colonize	
43	43	10.278233	6.1190476	Colonize	43	12.161348	6.285714	Colonize	43	12.916475	6.1904764	Colonize	
44	44	10.461879	6.116279	Colonize	44	12.524867	6.27907	Colonize	44	13.332115	6.139535	Colonize	
45	45	10.514625	6.159091	Colonize	45	12.825876	6.2272725	Colonize	45	13.481078	6.2272725	Colonize	
46	46	10.630913	6.2	Colonize	46	12.929289	6.266667	Colonize	46	13.549996	6.266667	Colonize	
47	47	10.783635	6.2391305	Colonize	47	12.981493	6.304348	Colonize	47	14.11061	6.2608695	Colonize	
48	48	10.869229	6.2765956	Colonize	48	13.083754	6.3404255	Contest	48	14.555672	6.255319	Colonize	
49	49	10.956642	6.3125	Colonize	49	13.187882	6.375	Contest	49	14.971182	6.2916665	Colonize	
50	50	11.334189	6.3061223	Colonize	50	13.56514	6.408163	Colonize	50	15.208101	6.285714	Colonize	
51	51	11.590087	6.3	Colonize	51	13.87344	6.4	Colonize	51	15.347976	6.32	Colonize	
52	52	11.697895	6.2941175	Colonize	52	14.046549	6.392157	Colonize	52	15.87631	6.3137255	Colonize	
53	53	11.828301	6.326923	Colonize	53	14.114143	6.423077	Colonize	53	16.268143	6.3076925	Colonize	
54	54	11.959775	6.3584905	Colonize	54	14.199577	6.4528303	Contest	54	16.650965	6.3396225	Colonize	
55	55	12.118063	6.388889	Colonize	55	14.56197	6.4814816	Colonize	55	17.016926	6.3333335	Colonize	
56	56	12.261834	6.418182	Colonize	56	14.896964	6.4363637	Colonize	56	17.45271	6.3636365	Colonize	
57	57	12.390771	6.446429	Colonize	57	14.983533	6.464286	Colonize	57	17.757292	6.392857	Colonize	
58	58	12.74683	6.4385967	Colonize	58	15.035849	6.491228	Colonize	58	18.028133	6.4210525	Colonize	
59	59	13.06843	6.3965516	Colonize	59	15.117048	6.5172415	Colonize	59	18.214447	6.448276	Contest	
60	60	13.333816	6.423729	Colonize	60	15.320708	6.5423727	Colonize	60	18.36325	6.4745765	Contest	
61	61	13.491842	6.45	Colonize	61	15.457733	6.5666666	Colonize	61	18.91565	6.5	Colonize	
62	62	13.736523	6.47541	Colonize	62	15.712234	6.557377	Colonize	62	19.457447	6.491803	Colonize	
63	63	13.921215	6.5	Colonize	63	15.931252	6.548387	Colonize	63	19.94769	6.516129	Colonize	
64	64	14.215268	6.5238094	Colonize	64	16.110746	6.571429	Colonize	64	20.416721	6.5079365	Colonize	
65	65	14.492046	6.546875	Colonize	65	16.303417	6.59375	Colonize	65	20.945076	6.53125	Colonize	
66	66	14.836586	6.5384617	Colonize	66	16.539484	6.6153846	Colonize	66	21.258541	6.5538464	Colonize	
67	67	15.06387	6.530303	Colonize	67	16.670588	6.6060605	Colonize	67	21.46399	6.5757575	Colonize	
68	68	15.274	6.522388	Colonize	68	16.763533	6.626866	Colonize	68	21.672277	6.597015	Contest	
69	69	15.44035	6.5441175	Colonize	69	16.904825	6.647059	Colonize	69	22.331856	6.617647	Colonize	
