SIMULATION PARAMETERS:
n = 90
m = 160
k = 1
p = 3
recruit_likeliness = 0.01
defeat_likeliness = 0.1
starting_control = 100
resource_noise_scale = 0.026352314

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
55	14397.0	3017.1094	1.0	1.0	1.0	1.0	1.0	1.0	
56	14397.0	3017.1094	1.0	1.0	1.0	1.0	1.0	1.0	
57	14396.0	3016.768	1.0	1.0	2.0	1.3412554	1.0	1.0	
58	14392.0	3015.395	1.0	1.0	6.0	2.7144222	1.0	1.0	
59	14389.0	3014.3252	1.0	1.0	9.0	3.7837615	1.0	1.0	
60	14386.0	3013.2495	1.0	1.0	12.0	4.859475	1.0	1.0	
61	14378.0	3010.4604	1.0	1.0	20.0	7.6484604	1.0	1.0	
62	14371.0	3008.0264	1.0	1.0	27.0	10.082708	1.0	1.0	
63	14365.0	3005.9805	1.0	1.0	33.0	12.128929	1.0	1.0	
64	14353.0	3001.9175	1.0	1.0	45.0	16.191467	1.0	1.0	
65	14344.0	2998.9473	1.0	1.0	54.0	19.161987	1.0	1.0	
66	14334.0	2995.7163	1.0	1.0	64.0	22.39312	1.0	1.0	
67	14321.0	2991.599	1.0	1.0	77.0	26.509932	1.0	1.0	
68	14305.0	2986.6274	1.0	1.0	93.0	31.481749	1.0	1.0	
69	14285.0	2980.7017	1.0	1.0	112.0	37.286392	2.0	1.1211333	
70	14255.0	2972.2837	1.0	1.0	139.0	45.333195	5.0	1.4933839	
71	14228.0	2965.4307	1.0	1.0	160.0	51.482166	11.0	2.1978762	
72	14202.0	2958.5073	1.0	1.0	181.0	57.79484	16.0	2.808649	
73	14172.0	2951.6602	1.0	1.0	201.0	63.47819	26.0	3.9726691	
74	14148.0	2946.4614	1.0	1.0	216.0	67.6517	35.0	4.998161	
75	14127.0	2941.858	1.0	1.0	230.0	71.451385	42.0	5.801849	
76	14103.0	2936.8877	1.0	1.0	246.0	75.554634	50.0	6.668637	
77	14072.0	2930.9253	1.0	1.0	265.0	80.2295	62.0	7.9555845	
78	14045.0	2926.1597	1.0	1.0	278.0	83.507965	76.0	9.442498	
79	14023.0	2922.4268	1.0	1.0	289.0	86.14059	87.0	10.542832	
80	14000.0	2918.7363	1.0	1.0	299.0	88.483864	100.0	11.889872	
81	13977.0	2914.6157	1.0	1.0	311.0	91.5607	111.0	12.933821	
82	13963.0	2912.25	1.0	1.0	316.0	93.02336	120.0	13.837314	
83	13943.0	2908.292	1.0	1.0	325.0	95.84061	131.0	14.977622	
84	13929.0	2905.2642	1.0	1.0	333.0	98.26967	137.0	15.575885	
85	13909.0	2901.0967	1.0	1.0	342.0	101.21148	148.0	16.802015	
86	13892.0	2896.8594	1.0	1.0	352.0	104.69714	155.0	17.55302	
87	13870.0	2891.107	1.0	1.0	366.0	109.57623	163.0	18.42601	
88	13844.0	2884.4321	1.0	1.0	384.0	115.308334	171.0	19.368637	
89	13824.0	2880.02	1.0	1.0	393.0	118.472946	182.0	20.616425	
