SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 20
recruit_likeliness = 0.001
defeat_likeliness = 0.1
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	NATION 5 SIZE	NATION 5 RESOURCES	NATION 6 SIZE	NATION 6 RESOURCES	NATION 7 SIZE	NATION 7 RESOURCES	NATION 8 SIZE	NATION 8 RESOURCES	NATION 9 SIZE	NATION 9 RESOURCES	NATION 10 SIZE	NATION 10 RESOURCES	NATION 11 SIZE	NATION 11 RESOURCES	NATION 12 SIZE	NATION 12 RESOURCES	NATION 13 SIZE	NATION 13 RESOURCES	NATION 14 SIZE	NATION 14 RESOURCES	NATION 15 SIZE	NATION 15 RESOURCES	NATION 16 SIZE	NATION 16 RESOURCES	NATION 17 SIZE	NATION 17 RESOURCES	NATION 18 SIZE	NATION 18 RESOURCES	NATION 19 SIZE	NATION 19 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
77	230380.0	52735.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
78	230379.0	52735.203	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
79	230379.0	52735.203	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
80	230379.0	52735.203	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
81	230379.0	52735.203	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
82	230379.0	52735.203	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
83	230379.0	52735.203	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
84	230378.0	52735.047	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1554064	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
85	230376.0	52734.562	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.3261307	1.0	1.0	1.0	1.0	2.0	1.3123269	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
86	230374.0	52734.188	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.7005601	1.0	1.0	1.0	1.0	2.0	1.3123269	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
87	230373.0	52734.008	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.8758221	1.0	1.0	1.0	1.0	2.0	1.3123269	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
88	230372.0	52733.83	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	2.0586905	1.0	1.0	1.0	1.0	2.0	1.3123269	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
89	230371.0	52733.625	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	2.2608716	1.0	1.0	1.0	1.0	2.0	1.3123269	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
90	230370.0	52733.4	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	2.490929	1.0	1.0	1.0	1.0	2.0	1.3123269	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
91	230368.0	52732.9	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.0	2.985167	1.0	1.0	1.0	1.0	2.0	1.3123269	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
92	230366.0	52732.35	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	13.0	3.5374427	1.0	1.0	1.0	1.0	2.0	1.3123269	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
93	230364.0	52731.72	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	4.173389	1.0	1.0	1.0	1.0	2.0	1.3123269	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
94	230360.0	52730.516	1.0	1.0	2.0	1.1886103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.0	5.370204	1.0	1.0	1.0	1.0	2.0	1.3123269	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
