SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 10
recruit_likeliness = 0.5
defeat_likeliness = 0.01
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	NATION 5 SIZE	NATION 5 RESOURCES	NATION 6 SIZE	NATION 6 RESOURCES	NATION 7 SIZE	NATION 7 RESOURCES	NATION 8 SIZE	NATION 8 RESOURCES	NATION 9 SIZE	NATION 9 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
60	230390.0	52738.348	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
61	230342.0	52728.277	5.0	2.197126	5.0	1.19193	6.0	2.0932992	6.0	1.5119675	8.0	4.2559357	6.0	2.2755606	6.0	1.679606	7.0	1.9135475	5.0	1.0889598	4.0	1.8596008	
62	230241.0	52709.613	11.0	3.7885013	16.0	1.7884455	16.0	4.3253956	18.0	2.9172702	16.0	7.953692	18.0	5.439601	18.0	3.2186785	19.0	3.8077366	16.0	1.4405202	11.0	4.0556064	
63	230072.0	52675.03	26.0	7.8596387	30.0	2.7334015	35.0	8.466263	39.0	5.492889	34.0	16.02025	35.0	9.757585	35.0	5.221128	37.0	6.6659484	29.0	1.9543319	28.0	9.134241	
64	229844.0	52628.746	58.0	16.03784	52.0	4.316969	55.0	13.12423	60.0	8.177343	55.0	25.041363	63.0	16.57382	57.0	7.602519	62.0	10.353324	48.0	2.7872097	46.0	15.552905	
65	229535.0	52565.06	86.0	23.433187	82.0	6.6146493	90.0	21.206087	91.0	11.889372	88.0	38.416412	96.0	24.456785	83.0	11.027215	92.0	15.046929	77.0	4.1466637	80.0	27.038723	
66	229161.0	52489.566	121.0	34.088905	119.0	9.677406	128.0	29.98477	133.0	16.766445	127.0	53.54277	131.0	32.554153	122.0	16.038925	129.0	20.80989	113.0	6.2126317	116.0	39.112423	
67	228729.0	52405.215	155.0	44.818073	159.0	13.42383	170.0	39.92951	176.0	21.782314	173.0	70.77549	183.0	43.45509	170.0	22.019077	178.0	28.373312	150.0	8.709283	157.0	49.865467	
68	228231.0	52307.367	207.0	60.600872	206.0	18.587374	223.0	53.486	228.0	27.462645	219.0	86.40987	232.0	52.831253	214.0	27.909409	229.0	36.080093	198.0	12.490983	213.0	65.10638	
69	227639.0	52190.715	269.0	78.4814	263.0	26.008276	285.0	69.87736	299.0	35.18369	280.0	105.715416	292.0	63.5683	272.0	36.210175	290.0	46.090603	242.0	16.897356	269.0	79.57657	
70	226991.0	52062.117	338.0	97.6137	319.0	34.902355	355.0	88.27496	359.0	42.27905	348.0	125.51535	357.0	74.8075	336.0	46.26992	361.0	57.394836	303.0	24.410395	333.0	94.695854	
71	226251.0	51916.918	418.0	118.63567	401.0	48.014416	429.0	107.65856	425.0	50.433525	419.0	144.36191	435.0	87.68292	410.0	58.190006	433.0	70.033356	369.0	34.66981	410.0	111.684296	
72	225436.0	51758.332	495.0	138.63899	478.0	62.523426	523.0	130.16269	507.0	61.8543	501.0	164.6919	504.0	99.46976	498.0	74.508095	507.0	82.12823	467.0	50.247746	484.0	125.70246	
73	224568.0	51592.54	585.0	159.09407	562.0	79.03809	613.0	151.58589	602.0	75.36321	585.0	183.35965	600.0	116.78143	579.0	89.21394	594.0	96.3386	543.0	64.18633	569.0	140.75209	
74	223667.0	51419.137	678.0	179.63205	654.0	97.86494	677.0	166.73805	695.0	90.667496	679.0	203.65985	686.0	132.00085	679.0	109.01598	687.0	112.07252	638.0	83.01024	660.0	154.43126	
75	222639.0	51220.86	789.0	201.76779	752.0	115.721306	762.0	185.51474	802.0	111.290855	792.0	228.09288	764.0	146.31282	782.0	128.4574	800.0	132.37988	753.0	106.92922	765.0	170.89949	
76	221538.0	51006.79	898.0	222.64375	871.0	140.88881	865.0	206.92204	911.0	132.54333	904.0	253.38507	865.0	163.4105	903.0	151.6359	909.0	152.19188	855.0	127.51981	881.0	190.32549	
77	220419.0	50781.73	1017.0	243.12277	987.0	167.51247	966.0	228.69801	1042.0	161.18958	1012.0	276.9235	943.0	178.08339	1019.0	174.76636	1038.0	175.19221	970.0	152.87785	987.0	208.15462	
78	219268.0	50548.652	1131.0	261.2972	1098.0	192.61223	1051.0	249.16075	1173.0	192.25706	1140.0	305.23813	1030.0	193.73141	1137.0	197.14452	1158.0	197.50354	1098.0	181.56883	1116.0	229.1013	
79	218028.0	50298.023	1267.0	283.69232	1229.0	221.19322	1154.0	273.65634	1306.0	224.49985	1289.0	333.9097	1114.0	209.34935	1269.0	225.4506	1283.0	220.06618	1213.0	206.35345	1248.0	252.03552	
80	216656.0	50006.37	1404.0	305.86557	1375.0	254.69319	1270.0	303.4218	1465.0	266.312	1429.0	362.35687	1191.0	224.71857	1421.0	259.63	1434.0	247.79874	1348.0	236.35823	1407.0	280.62564	
81	215240.0	49702.098	1568.0	333.34326	1529.0	290.06265	1371.0	330.62213	1617.0	305.9487	1573.0	391.5467	1296.0	245.352	1573.0	293.6705	1582.0	277.54205	1499.0	269.21567	1552.0	308.76947	
82	213794.0	49379.74	1726.0	363.98935	1702.0	328.96613	1478.0	360.12378	1781.0	348.33472	1729.0	424.60764	1385.0	264.05582	1729.0	331.3441	1710.0	303.32355	1654.0	303.48788	1712.0	340.2832	
83	212358.0	49058.082	1881.0	394.35397	1865.0	363.5297	1593.0	392.01813	1935.0	386.5534	1868.0	456.58807	1474.0	283.8771	1901.0	375.4915	1835.0	328.6273	1823.0	338.29004	1867.0	370.8675	
84	210910.0	48730.19	2035.0	427.03253	2025.0	395.9447	1708.0	423.6603	2092.0	425.04434	1999.0	488.08453	1559.0	303.21933	2072.0	420.55835	1965.0	354.3889	2000.0	376.09036	2035.0	404.15588	
85	209404.0	48381.562	2198.0	463.13577	2181.0	428.1518	1831.0	457.9692	2273.0	470.08304	2154.0	526.9364	1648.0	323.05664	2248.0	465.25964	2091.0	380.24457	2164.0	412.4564	2208.0	439.4066	
86	207795.0	48012.508	2363.0	499.48352	2364.0	466.962	1951.0	492.73022	2486.0	520.93567	2286.0	559.2214	1745.0	343.7725	2439.0	516.69836	2219.0	406.00894	2349.0	450.73303	2403.0	479.21057	
