SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.1
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
149	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
150	230394.0	52738.88	2.0	1.4645329	1.0	1.0	2.0	1.129459	1.0	1.0	
151	230388.0	52737.24	4.0	2.4689808	1.0	1.0	6.0	1.7583474	1.0	1.0	
152	230383.0	52735.824	6.0	3.4393172	1.0	1.0	9.0	2.21484	1.0	1.0	
153	230372.0	52732.023	12.0	6.2608957	1.0	1.0	13.0	2.9848995	2.0	1.1955804	
154	230365.0	52729.29	17.0	8.556613	1.0	1.0	15.0	3.4305036	2.0	1.1955804	
155	230355.0	52726.4	21.0	10.239048	1.0	1.0	20.0	4.5088153	3.0	1.3295074	
156	230345.0	52723.55	24.0	11.49066	1.0	1.0	23.0	5.3053913	7.0	2.1298761	
157	230334.0	52720.266	29.0	13.4716	2.0	1.0809149	25.0	5.99718	10.0	2.6624599	
158	230326.0	52718.367	30.0	13.9368515	4.0	1.2621737	28.0	6.9295926	12.0	2.9769702	
159	230316.0	52715.324	32.0	14.725618	5.0	1.4169036	34.0	8.862538	13.0	3.1449513	
160	230295.0	52710.49	36.0	16.218466	9.0	2.1470978	39.0	10.27412	21.0	4.356056	
161	230268.0	52703.703	41.0	18.369802	13.0	2.7998452	48.0	12.939128	30.0	5.6641674	
162	230243.0	52696.566	51.0	22.569464	17.0	3.4990547	53.0	14.397755	36.0	6.440997	
163	230223.0	52690.895	60.0	25.933247	19.0	3.8943288	58.0	15.83475	40.0	6.925145	
164	230195.0	52681.668	74.0	31.795555	24.0	4.729249	66.0	18.269415	41.0	7.016929	
165	230159.0	52671.97	85.0	35.62583	31.0	6.046575	77.0	21.961494	48.0	7.8715367	
166	230125.0	52661.973	93.0	38.206367	36.0	7.3259845	93.0	27.505993	53.0	8.460705	
167	230093.0	52653.895	96.0	39.19894	40.0	8.322953	105.0	32.12073	66.0	9.932494	
168	230056.0	52643.875	105.0	41.30388	44.0	9.568436	121.0	37.786774	74.0	10.940923	
169	230012.0	52630.043	114.0	43.636658	53.0	12.150112	139.0	45.790092	82.0	11.851357	
170	229961.0	52615.105	129.0	47.40164	62.0	15.230299	156.0	52.717358	92.0	13.022795	
171	229923.0	52605.047	138.0	49.35216	69.0	17.875614	167.0	56.9595	103.0	14.236956	
172	229876.0	52589.703	149.0	52.665203	75.0	20.223665	181.0	64.743034	119.0	16.13279	
173	229822.0	52569.645	165.0	57.313057	86.0	24.43911	202.0	75.161064	125.0	16.897532	
174	229775.0	52553.453	176.0	60.025517	99.0	28.644464	218.0	83.29094	132.0	18.044607	
175	229710.0	52531.984	196.0	65.892105	110.0	33.120365	235.0	91.72424	149.0	20.747766	
176	229620.0	52503.24	217.0	71.364555	126.0	38.44281	265.0	106.02653	172.0	24.387968	
177	229544.0	52477.844	235.0	76.07231	142.0	44.503136	291.0	117.79382	188.0	27.253294	
178	229464.0	52452.34	256.0	81.374725	156.0	48.94204	317.0	130.39983	207.0	30.417328	
179	229366.0	52424.344	287.0	87.70526	177.0	55.778717	341.0	141.21777	229.0	34.448833	
180	229282.0	52401.09	313.0	92.64824	189.0	59.08643	365.0	152.48846	251.0	38.184032	
181	229207.0	52379.977	327.0	94.56199	205.0	63.75563	393.0	164.34616	268.0	40.84683	
