SIMULATION PARAMETERS:
n = 180
m = 320
k = 1
p = 5
recruit_likeliness = 1.0E-4
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.13176157

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
82	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
83	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
84	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
85	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
86	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
87	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
88	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
89	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
90	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
91	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
92	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
93	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
94	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
95	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
96	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
97	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
98	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
99	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
100	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
101	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
102	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
103	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
104	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
105	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
106	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
107	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
108	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
109	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
110	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
111	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
112	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
113	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
114	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
115	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
116	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
117	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
118	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
119	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
120	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
121	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
