SIMULATION PARAMETERS:
n = 225
m = 400
k = 1
p = 5
recruit_likeliness = 0.01
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.033333335

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
59	89995.0	19812.127	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
60	89994.0	19811.818	1.0	1.0	2.0	1.3098661	1.0	1.0	1.0	1.0	1.0	1.0	
61	89992.0	19811.166	1.0	1.0	4.0	1.9631732	1.0	1.0	1.0	1.0	1.0	1.0	
62	89987.0	19809.693	1.0	1.0	7.0	2.922045	2.0	1.1337299	1.0	1.0	2.0	1.3805124	
63	89977.0	19806.35	1.0	1.0	14.0	5.2925014	2.0	1.1337299	2.0	1.1634756	4.0	2.1890936	
64	89970.0	19804.123	1.0	1.0	17.0	6.1610193	2.0	1.1337299	3.0	1.3223962	7.0	3.3888135	
65	89955.0	19799.393	1.0	1.0	22.0	7.8804913	3.0	1.2703011	6.0	1.8081328	13.0	5.772617	
66	89939.0	19793.834	1.0	1.0	29.0	10.3543005	5.0	1.5425758	6.0	1.8081328	20.0	8.582905	
67	89912.0	19785.516	1.0	1.0	41.0	14.511087	10.0	2.1989439	8.0	2.1000662	28.0	11.802847	
68	89886.0	19777.76	1.0	1.0	51.0	17.75883	16.0	2.9974837	10.0	2.411671	36.0	15.20277	
69	89858.0	19769.752	1.0	1.0	59.0	20.400333	24.0	4.0652585	13.0	2.8493974	45.0	19.059723	
70	89825.0	19759.682	1.0	1.0	67.0	23.056997	34.0	5.406305	14.0	3.0014439	59.0	24.980955	
71	89790.0	19749.494	1.0	1.0	80.0	27.261591	40.0	6.1998324	19.0	3.7278616	70.0	29.435587	
72	89748.0	19737.432	1.0	1.0	93.0	31.392052	48.0	7.2454767	25.0	4.614612	85.0	35.432964	
73	89716.0	19728.117	1.0	1.0	104.0	35.082615	53.0	7.961483	30.0	5.342004	96.0	39.61401	
74	89687.0	19719.516	1.0	1.0	114.0	39.07996	60.0	8.834946	33.0	5.801364	105.0	42.882263	
75	89648.0	19709.135	1.0	1.0	125.0	42.980152	68.0	9.861414	40.0	6.8407345	118.0	47.303856	
76	89623.0	19703.045	2.0	1.1220008	132.0	45.307922	77.0	11.029479	41.0	7.006543	125.0	49.608356	
