SIMULATION PARAMETERS:
n = 450
m = 800
k = 1
p = 50
recruit_likeliness = 0.01
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.016666668

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	NATION 5 SIZE	NATION 5 RESOURCES	NATION 6 SIZE	NATION 6 RESOURCES	NATION 7 SIZE	NATION 7 RESOURCES	NATION 8 SIZE	NATION 8 RESOURCES	NATION 9 SIZE	NATION 9 RESOURCES	NATION 10 SIZE	NATION 10 RESOURCES	NATION 11 SIZE	NATION 11 RESOURCES	NATION 12 SIZE	NATION 12 RESOURCES	NATION 13 SIZE	NATION 13 RESOURCES	NATION 14 SIZE	NATION 14 RESOURCES	NATION 15 SIZE	NATION 15 RESOURCES	NATION 16 SIZE	NATION 16 RESOURCES	NATION 17 SIZE	NATION 17 RESOURCES	NATION 18 SIZE	NATION 18 RESOURCES	NATION 19 SIZE	NATION 19 RESOURCES	NATION 20 SIZE	NATION 20 RESOURCES	NATION 21 SIZE	NATION 21 RESOURCES	NATION 22 SIZE	NATION 22 RESOURCES	NATION 23 SIZE	NATION 23 RESOURCES	NATION 24 SIZE	NATION 24 RESOURCES	NATION 25 SIZE	NATION 25 RESOURCES	NATION 26 SIZE	NATION 26 RESOURCES	NATION 27 SIZE	NATION 27 RESOURCES	NATION 28 SIZE	NATION 28 RESOURCES	NATION 29 SIZE	NATION 29 RESOURCES	NATION 30 SIZE	NATION 30 RESOURCES	NATION 31 SIZE	NATION 31 RESOURCES	NATION 32 SIZE	NATION 32 RESOURCES	NATION 33 SIZE	NATION 33 RESOURCES	NATION 34 SIZE	NATION 34 RESOURCES	NATION 35 SIZE	NATION 35 RESOURCES	NATION 36 SIZE	NATION 36 RESOURCES	NATION 37 SIZE	NATION 37 RESOURCES	NATION 38 SIZE	NATION 38 RESOURCES	NATION 39 SIZE	NATION 39 RESOURCES	NATION 40 SIZE	NATION 40 RESOURCES	NATION 41 SIZE	NATION 41 RESOURCES	NATION 42 SIZE	NATION 42 RESOURCES	NATION 43 SIZE	NATION 43 RESOURCES	NATION 44 SIZE	NATION 44 RESOURCES	NATION 45 SIZE	NATION 45 RESOURCES	NATION 46 SIZE	NATION 46 RESOURCES	NATION 47 SIZE	NATION 47 RESOURCES	NATION 48 SIZE	NATION 48 RESOURCES	NATION 49 SIZE	NATION 49 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
57	359950.0	79257.48	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
58	359947.0	79256.83	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1366813	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.3921484	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1208928	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
59	359940.0	79254.76	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.5445296	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	2.5656054	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.4829834	2.0	1.1208928	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
60	359928.0	79251.914	1.0	1.0	2.0	1.1190188	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1616075	8.0	1.9500673	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	3.7238293	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1984837	2.0	1.4005399	1.0	1.0	2.0	1.1841483	1.0	1.0	1.0	1.0	2.0	1.4829834	2.0	1.1208928	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.2092522	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
61	359905.0	79246.34	2.0	1.2611089	4.0	1.3494027	2.0	1.0735828	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.3376563	10.0	2.21975	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1541865	1.0	1.0	1.0	1.0	14.0	6.022016	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1762555	2.0	1.1984837	4.0	2.2144623	1.0	1.0	2.0	1.1841483	1.0	1.0	1.0	1.0	2.0	1.4829834	2.0	1.1208928	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	2.226576	2.0	1.0974205	1.0	1.0	1.0	1.0	1.0	1.0	
62	359870.0	79236.74	4.0	1.8011804	5.0	1.4544443	4.0	1.2195914	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.52791	14.0	2.752281	1.0	1.0	2.0	1.4967167	2.0	1.0900701	2.0	1.1954703	1.0	1.0	2.0	1.1541865	1.0	1.0	1.0	1.0	22.0	9.119526	1.0	1.0	2.0	1.2325712	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.3545127	2.0	1.1984837	9.0	4.25128	1.0	1.0	2.0	1.1841483	1.0	1.0	1.0	1.0	3.0	1.9962536	3.0	1.2431946	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.2884474	1.0	1.0	11.0	3.047317	2.0	1.0974205	1.0	1.0	1.0	1.0	1.0	1.0	
63	359808.0	79220.99	4.0	1.8011804	8.0	1.8013978	10.0	1.6630571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.2214268	2.0	1.1449571	1.0	1.0	9.0	2.4882379	20.0	3.5490568	1.0	1.0	3.0	1.9965633	2.0	1.0900701	2.0	1.1954703	2.0	1.1863168	2.0	1.1541865	1.0	1.0	1.0	1.0	35.0	14.185311	1.0	1.0	2.0	1.2325712	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.3545127	2.0	1.1984837	16.0	7.066797	1.0	1.0	3.0	1.378185	1.0	1.0	1.0	1.0	5.0	3.0258331	4.0	1.3619785	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.4794638	3.0	1.5605989	1.0	1.0	21.0	5.117504	3.0	1.193246	1.0	1.0	1.0	1.0	1.0	1.0	
64	359734.0	79202.79	4.0	1.8011804	12.0	2.2652855	18.0	2.3053715	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1063684	1.0	1.0	4.0	1.6567547	3.0	1.2860181	1.0	1.0	13.0	3.2598517	29.0	4.752517	1.0	1.0	7.0	3.9873185	2.0	1.0900701	2.0	1.1954703	2.0	1.1863168	3.0	1.3034939	1.0	1.0	1.0	1.0	51.0	20.32868	1.0	1.0	2.0	1.2325712	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.3545127	2.0	1.1984837	19.0	8.283783	1.0	1.0	6.0	1.9641101	1.0	1.0	1.0	1.0	7.0	4.052691	5.0	1.4757175	1.0	1.0	1.0	1.0	1.0	1.0	6.0	2.1898246	5.0	2.1330926	1.0	1.0	30.0	6.9743924	4.0	1.2911149	1.0	1.0	1.0	1.0	1.0	1.0	
65	359625.0	79177.69	5.0	2.0600986	18.0	2.9404764	28.0	3.1846611	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1063684	1.0	1.0	6.0	2.080425	4.0	1.4348965	1.0	1.0	22.0	5.007744	45.0	6.8257966	1.0	1.0	13.0	6.9583406	2.0	1.0900701	2.0	1.1954703	3.0	1.3819313	3.0	1.3034939	1.0	1.0	1.0	1.0	61.0	24.189966	1.0	1.0	2.0	1.2325712	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.3545127	2.0	1.1984837	28.0	11.865418	1.0	1.0	11.0	2.937363	2.0	1.2425117	1.0	1.0	9.0	5.086103	9.0	1.9198477	1.0	1.0	1.0	1.0	1.0	1.0	13.0	3.8810787	8.0	2.9800286	1.0	1.0	44.0	9.77726	5.0	1.3802769	1.0	1.0	2.0	1.2165022	1.0	1.0	
